wind_speed,Braun Windturbinen ANTARIS 12.0kW
1.0,0.0
1.01,0.0004621504602615
1.02,0.000909442112676
1.03,0.0013421058542924
1.04,0.0017603725821596
1.05,0.0021644731933266
1.06,0.0025546385848423
1.07,0.0029310996537558
1.08,0.003294087297116
1.09,0.0036438324119718
1.1,0.0039805658953722
1.11,0.0043045186443662
1.12,0.0046159215560027
1.13,0.0049150055273306
1.14,0.005202001455399
1.15,0.0054771402372568
1.16,0.005740652769953
1.17,0.0059927699505365
1.18,0.0062337226760563
1.19,0.0064637418435613
1.2,0.0066830583501006
1.21,0.006891903092723
1.22,0.0070905069684775
1.23,0.0072791008744131
1.24,0.0074579157075788
1.25,0.0076271823650234
1.26,0.0077871317437961
1.27,0.0079379947409457
1.28,0.0080800022535211
1.29,0.0082133851785714
1.3,0.0083383744131455
1.31,0.0084552008542924
1.32,0.008564095399061
1.33,0.0086652889445003
1.34,0.0087590123876593
1.35,0.0088454966255868
1.36,0.008924972555332
1.37,0.0089976710739436
1.38,0.0090638230784708
1.39,0.0091236594659624
1.4,0.0091774111334675
1.41,0.0092253089780349
1.42,0.0092675838967136
1.43,0.0093044667865526
1.44,0.0093361885446009
1.45,0.0093629800679074
1.46,0.0093850722535211
1.47,0.0094026959984909
1.48,0.0094160821998658
1.49,0.0094254617546948
1.5,0.0094310655600268
1.51,0.0094331245129108
1.52,0.0094318695103957
1.53,0.0094275314495305
1.54,0.0094203412273642
1.55,0.0094105297409457
1.56,0.0093983278873239
1.57,0.0093839665635479
1.58,0.0093676766666666
1.59,0.009349689093729
1.6,0.009330234741784
1.61,0.0093095445078806
1.62,0.0092878492890677
1.63,0.0092653799823943
1.64,0.0092423674849094
1.65,0.0092190426936619
1.66,0.0091956365057008
1.67,0.0091723798180751
1.68,0.0091495035278336
1.69,0.0091272385320255
1.7,0.0091058157276995
1.71,0.0090854660119047
1.72,0.0090664202816901
1.73,0.0090489094341046
1.74,0.0090331643661971
1.75,0.0090194159750167
1.76,0.0090078951576123
1.77,0.0089988328110328
1.78,0.0089924598323273
1.79,0.0089890071185446
1.8,0.0089887055667337
1.81,0.0089917860739436
1.82,0.0089984795372233
1.83,0.0090090168536217
1.84,0.0090236289201878
1.85,0.0090425466339705
