wind_speed,Nordtank NTK 150 
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0037398180269823
2.02,0.007477391938737
2.03,0.0112104776200362
2.04,0.0149368309556524
2.05,0.0186542078303576
2.06,0.0223603641289243
2.07,0.0260530557361246
2.08,0.0297300385367312
2.09,0.0333890684155158
2.1,0.0370279012572513
2.11,0.0406442929467095
2.12,0.0442359993686628
2.13,0.0478007764078837
2.14,0.0513363799491443
2.15,0.0548405658772168
2.16,0.0583110900768738
2.17,0.0617457084328873
2.18,0.0651421768300298
2.19,0.0684982511530734
2.2,0.0718116872867905
2.21,0.0750802411159531
2.22,0.0783016685253341
2.23,0.0814737253997053
2.24,0.0845941676238391
2.25,0.0876607510825078
2.26,0.0906712316604836
2.27,0.0936233652425391
2.28,0.0965149077134462
2.29,0.0993436149579776
2.3,0.1021072428609051
2.31,0.1048035473070012
2.32,0.1074302841810384
2.33,0.1099852093677888
2.34,0.1124660787520246
2.35,0.1148706482185183
2.36,0.1171966736520418
2.37,0.1194419109373679
2.38,0.1216041159592686
2.39,0.1236810446025163
2.4,0.1256704527518831
2.41,0.1275700962921415
