wind_speed,W2E Wind to Energy W2E-155/4.5fc
1.0,0.0
1.01,0.8695739910925514
1.02,1.7122894698908544
1.03,2.528430865812024
1.04,3.318282608273172
1.05,4.082129126691415
1.06,4.820254850483863
1.07,5.53294420906763
1.08,6.220481631859833
1.09,6.883151548277586
1.1,7.521238387737996
1.11,8.135026579658179
1.12,8.724800553455255
1.13,9.29084473854632
1.14,9.833443564348512
1.15,10.352881460278931
1.16,10.849442855754695
1.17,11.323412180192918
1.18,11.77507386301071
1.19,12.20471233362518
1.2,12.612612021453456
1.21,12.99905735591264
1.22,13.36433276641984
1.23,13.70872268239219
1.24,14.032511533246783
1.25,14.335983748400746
1.26,14.61942375727119
1.27,14.883115989275224
1.28,15.12734487382996
1.29,15.35239484035252
1.3,15.558550318260016
1.31,15.746095736969554
1.32,15.915315525898256
1.33,16.066494114463236
1.34,16.199915932081595
1.35,16.315865408170456
1.36,16.414626972146934
1.37,16.49648505342815
1.38,16.561724081431198
1.39,16.6106284855732
1.4,16.64348269527128
1.41,16.660571139942533
1.42,16.66217824900409
1.43,16.64858845187306
1.44,16.620086177966545
1.45,16.576955856701677
1.46,16.51948191749556
1.47,16.4479487897653
1.48,16.362640902928025
1.49,16.263842686400835
1.5,16.15183856960086
1.51,16.026912981945195
1.52,15.889350352850965
1.53,15.739435111735284
1.54,15.577451688015264
1.55,15.40368451110802
1.56,15.218418010430655
1.57,15.021936615400296
1.58,14.814524755434068
1.59,14.596466859949045
1.6,14.368047358362366
1.61,14.129550680091144
1.62,13.881261254552506
1.63,13.623463511163532
1.64,13.356441879341372
1.65,13.080480788503104
1.66,12.795864668065866
1.67,12.502877947446772
1.68,12.201805056062923
1.69,11.89293042333144
1.7,11.576538478669429
1.71,11.25291365149402
1.72,10.922340371222308
1.73,10.585103067271412
1.74,10.241486169058446
1.75,9.891774106000536
1.76,9.536251307514796
1.77,9.175202203018303
1.78,8.808911221928215
1.79,8.437662793661623
1.8,8.061741347635646
1.81,7.681431313267389
1.82,7.297017119973985
1.83,6.908783197172524
1.84,6.517013974280142
1.85,6.12199388071394
1.86,5.724007345891031
1.87,5.323338799228532
1.88,4.920272670143557
1.89,4.515093388053229
1.9,4.108085382374636
1.91,3.69953308252491
1.92,3.2897209179211675
1.93,2.878933317980501
1.94,2.4674547121200607
1.95,2.055569529756916
1.96,1.6435622003082295
1.97,1.2317171531910756
1.98,0.8203188178225691
1.99,0.4096516236198404
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
