wind_speed,aerodyn SCD 8.0/168
1.0,0.0
1.01,0.3669280406016034
1.02,0.7227929242001433
1.03,1.0677063998562566
1.04,1.4017802166305808
1.05,1.7251261235837527
1.06,2.037855869776409
1.07,2.3400812042691865
1.08,2.6319138761227228
1.09,2.913465634397656
1.1,3.18484822815462
1.11,3.4461734064542537
1.12,3.697552918357196
1.13,3.9390985129240734
1.14,4.17092193921554
1.15,4.393134946292222
1.16,4.60584928321476
1.17,4.80917669904379
1.18,5.003228942839948
1.19,5.18811776366387
1.2,5.363954910576198
1.21,5.530852132637564
1.22,5.688921178908606
1.23,5.838273798449961
1.24,5.979021740322268
1.25,6.111276753586163
1.26,6.235150587302283
1.27,6.350754990531264
1.28,6.45820171233374
1.29,6.557602501770356
1.3,6.649069107901747
1.31,6.732713279788545
1.32,6.808646766491387
1.33,6.876981317070919
1.34,6.9378286805877645
1.35,6.991300606102572
1.36,7.037508842675971
1.37,7.076565139368607
1.38,7.108581245241108
1.39,7.133668909354116
1.4,7.151939880768265
1.41,7.1635059085441934
1.42,7.1684787417425415
1.43,7.166970129423943
1.44,7.159091820649032
1.45,7.144955564478452
1.46,7.1246731099728375
1.47,7.098356206192822
1.48,7.066116602199045
1.49,7.028066047052145
1.5,6.984316289812758
1.51,6.934979079541521
1.52,6.8801661652990695
1.53,6.819989296146042
1.54,6.754560221143077
1.55,6.683990689350811
1.56,6.608392449829876
1.57,6.527877251640913
1.58,6.442556843844564
1.59,6.352542975501456
1.6,6.257947395672231
1.61,6.158881853417524
1.62,6.05545809779798
1.63,5.947787877874227
1.64,5.835982942706908
1.65,5.720155041356652
1.66,5.6004159228841
1.67,5.476877336349894
1.68,5.349651030814666
1.69,5.218848755339052
1.7,5.084582258983689
1.71,4.9469632908092205
1.72,4.806103599876277
1.73,4.662114935245494
1.74,4.515109045977513
1.75,4.365197681132974
1.76,4.212492589772513
1.77,4.057105520956752
1.78,3.899148223746349
1.79,3.73873244720193
1.8,3.5759699403841334
1.81,3.4109724523535934
1.82,3.243851732170956
1.83,3.074719528896849
1.84,2.903687591591915
1.85,2.7308676693167886
1.86,2.556371511132103
1.87,2.380310866098505
1.88,2.202797483276627
1.89,2.023943111727104
1.9,1.843859500510573
1.91,1.6626583986876686
1.92,1.4804515553190325
1.93,1.2973507194653
1.94,1.113467640187113
1.95,0.9289140665450946
1.96,0.7438017475999041
1.97,0.558242432412158
1.98,0.3723478700425016
1.99,0.1862298095515662
2.0,0.0
2.01,0.0
2.02,0.0
