wind_speed,WESPA 200/31
1.0,0.0
1.01,0.0296857323757071
1.02,0.0584764175441065
1.03,0.0863810963860801
1.04,0.1134088097825097
1.05,0.1395685986142772
1.06,0.1648695037622646
1.07,0.1893205661073537
1.08,0.2129308265304264
1.09,0.2357093259123647
1.1,0.2576651051340503
1.11,0.2788072050763652
1.12,0.2991446666201914
1.13,0.3186865306464103
1.14,0.3374418380359046
1.15,0.3554196296695558
1.16,0.3726289464282458
1.17,0.3890788291928566
1.18,0.4047783188442699
1.19,0.4197364562633676
1.2,0.4339622823310318
1.21,0.4474648379281442
1.22,0.4602531639355868
1.23,0.4723363012342415
1.24,0.48372329070499
1.25,0.4944231732287146
1.26,0.5044449896862968
1.27,0.5137977809586188
1.28,0.5224905879265621
1.29,0.5305324514710092
1.3,0.5379324124728416
1.31,0.5446995118129411
1.32,0.5508427903721898
1.33,0.5563712890314695
1.34,0.5612940486716621
1.35,0.5656201101736495
1.36,0.5693585144183138
1.37,0.5725183022865367
1.38,0.5751085146592
1.39,0.5771381924171857
1.4,0.5786163764413758
1.41,0.5795521076126519
1.42,0.5799544268118964
1.43,0.579832374919991
1.44,0.5791949928178171
1.45,0.5780513213862573
1.46,0.5764104015061932
1.47,0.5742812740585064
1.48,0.5716729799240794
1.49,0.5685945599837935
1.5,0.565055055118531
1.51,0.5610635062091737
1.52,0.5566289541366034
1.53,0.551760439781702
1.54,0.5464670040253516
1.55,0.5407576877484341
1.56,0.534641531831831
1.57,0.5281275771564247
1.58,0.521224864603097
1.59,0.5139424350527291
1.6,0.5062893293862037
1.61,0.4982745884844021
1.62,0.4899072532282073
1.63,0.4811963644984999
1.64,0.4721509631761628
1.65,0.4627800901420771
1.66,0.4530927862771248
1.67,0.4430980924621882
1.68,0.4328050495781491
1.69,0.4222226985058895
1.7,0.4113600801262905
1.71,0.4002262353202352
1.72,0.3888302049686047
1.73,0.3771810299522807
1.74,0.3652877511521458
1.75,0.3531594094490818
1.76,0.3408050457239704
1.77,0.3282337008576931
1.78,0.3154544157311327
1.79,0.3024762312251701
1.8,0.2893081882206879
1.81,0.2759593275985675
1.82,0.2624386902396914
1.83,0.2487553170249408
1.84,0.2349182488351983
1.85,0.2209365265513455
1.86,0.2068191910542641
1.87,0.192575283224836
1.88,0.1782138439439437
1.89,0.1637439140924686
1.9,0.1491745345512924
1.91,0.1345147462012971
1.92,0.1197735899233647
1.93,0.1049601065983773
1.94,0.090083337107217
1.95,0.0751523223307643
1.96,0.0601761031499033
1.97,0.0451637204455142
1.98,0.0301242150984792
1.99,0.0150666279896803
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0305877795830138
3.02,0.0620764428498098
3.03,0.0944627853959747
3.04,0.1277436028171034
3.05,0.1619156907087807
3.06,0.1969758446666026
3.07,0.2329208602861552
3.08,0.2697475331630338
3.09,0.3074526588928234
3.1,0.3460330330711186
3.11,0.385485451293508
3.12,0.4258067091555833
3.13,0.4669936022529345
3.14,0.5090429261811527
3.15,0.5519514765358261
3.16,0.595716048912549
3.17,0.6403334389069069
3.18,0.6858004421144965
3.19,0.7321138541309027
3.2,0.7792704705517206
3.21,0.8272670869725356
3.22,0.876100498988944
3.23,0.9257675021965308
3.24,0.9762648921908924
3.25,1.027589464567613
3.26,1.079738014922286
3.27,1.132707338850505
3.28,1.1864942319478544
3.29,1.2410954898099316
3.3,1.29650790803232
3.31,1.3527282822106166
3.32,1.409753407940406
3.33,1.4675800808172834
3.34,1.526205096436836
3.35,1.585625250394659
3.36,1.6458373382863358
