wind_speed,DWP D110/19
1.0,0.0
1.01,0.0002222216411209
1.02,0.0004377431322582
1.03,0.0006466321516947
1.04,0.000848956377713
1.05,0.0010447834885957
1.06,0.0012341811626255
1.07,0.001417217078085
1.08,0.001593958913257
1.09,0.0017644743464241
1.1,0.0019288310558689
1.11,0.0020870967198742
1.12,0.0022393390167225
1.13,0.0023856256246966
1.14,0.002526024222079
1.15,0.0026606024871526
1.16,0.0027894280981998
1.17,0.0029125687335034
1.18,0.0030300920713461
1.19,0.0031420657900105
1.2,0.0032485575677793
1.21,0.0033496350829351
1.22,0.0034453660137606
1.23,0.0035358180385384
1.24,0.0036210588355513
1.25,0.0037011560830819
1.26,0.0037761774594128
1.27,0.0038461906428267
1.28,0.0039112633116063
1.29,0.0039714631440342
1.3,0.0040268578183931
1.31,0.0040775150129657
1.32,0.0041235024060345
1.33,0.0041648876758824
1.34,0.0042017385007919
1.35,0.0042341225590457
1.36,0.0042621075289264
1.37,0.0042857610887168
1.38,0.0043051509166995
1.39,0.0043203446911572
1.4,0.0043314100903724
1.41,0.0043384147926279
1.42,0.0043414264762064
1.43,0.0043405128193905
1.44,0.0043357415004628
1.45,0.004327180197706
1.46,0.0043148965894029
1.47,0.0042989583538359
1.48,0.0042794331692879
1.49,0.0042563887140415
1.5,0.0042298926663793
1.51,0.004200012704584
1.52,0.0041668165069383
1.53,0.0041303717517247
1.54,0.0040907461172261
1.55,0.004048007281725
1.56,0.0040022229235041
1.57,0.0039534607208461
1.58,0.0039017883520336
1.59,0.0038472734953493
1.6,0.0037899838290758
1.61,0.0037299870314959
1.62,0.0036673507808922
1.63,0.0036021427555473
1.64,0.0035344306337439
1.65,0.0034642820937646
1.66,0.0033917648138922
1.67,0.0033169464724093
1.68,0.0032398947475985
1.69,0.0031606773177426
1.7,0.0030793618611241
1.71,0.0029960160560258
1.72,0.0029107075807302
1.73,0.0028235041135202
1.74,0.0027344733326782
1.75,0.002643682916487
1.76,0.0025512005432293
1.77,0.0024570938911877
1.78,0.0023614306386449
1.79,0.0022642784638835
1.8,0.0021657050451862
1.81,0.0020657780608356
1.82,0.0019645651891145
1.83,0.0018621341083055
1.84,0.0017585524966912
1.85,0.0016538880325543
1.86,0.0015482083941775
1.87,0.0014415812598434
1.88,0.0013340743078347
1.89,0.001225755216434
1.9,0.0011166916639241
1.91,0.0010069513285876
1.92,0.000896601888707
1.93,0.0007857110225652
1.94,0.0006743464084448
1.95,0.0005625757246284
1.96,0.0004504666493987
1.97,0.0003380868610383
1.98,0.00022550403783
1.99,0.0001127858580563
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
