wind_speed,AWP A/S AWP 90/18
1.0,0.0
1.01,0.0022765719070236
1.02,0.0044845034550414
1.03,0.0066244879810132
1.04,0.0086972188218986
1.05,0.0107033893146572
1.06,0.0126436927962486
1.07,0.0145188226036326
1.08,0.0163294720737688
1.09,0.0180763345436168
1.1,0.0197601033501363
1.11,0.021381471830287
1.12,0.0229411333210285
1.13,0.0244397811593204
1.14,0.0258781086821224
1.15,0.0272568092263942
1.16,0.0285765761290954
1.17,0.0298381027271857
1.18,0.0310420823576247
1.19,0.0321892083573721
1.2,0.0332801740633875
1.21,0.0343156728126306
1.22,0.0352963979420611
1.23,0.0362230427886385
1.24,0.0370963006893226
1.25,0.037916864981073
1.26,0.0386854290008494
1.27,0.0394026860856114
1.28,0.0400693295723186
1.29,0.0406860527979307
1.3,0.0412535490994075
1.31,0.0417725118137084
1.32,0.0422436342777932
1.33,0.0426676098286216
1.34,0.0430451318031532
1.35,0.0433768935383476
1.36,0.0436635883711644
1.37,0.0439059096385635
1.38,0.0441045506775043
1.39,0.0442602048249466
1.4,0.0443735654178501
1.41,0.0444453257931742
1.42,0.0444761792878788
1.43,0.0444668192389235
1.44,0.0444179389832679
1.45,0.0443302318578717
1.46,0.0442043911996945
1.47,0.044041110345696
1.48,0.0438410826328359
1.49,0.0436050013980737
1.5,0.0433335599783692
1.51,0.043027451710682
1.52,0.0426873699319717
1.53,0.0423140079791981
1.54,0.0419080591893207
1.55,0.0414702168992993
1.56,0.0410011744460934
1.57,0.0405016251666628
1.58,0.0399722623979671
1.59,0.0394137794769658
1.6,0.0388268697406188
1.61,0.0382122265258856
1.62,0.0375705431697259
1.63,0.0369025130090994
1.64,0.0362088293809657
1.65,0.0354901856222844
1.66,0.0347472750700152
1.67,0.0339807910611178
1.68,0.0331914269325518
1.69,0.0323798760212769
1.7,0.0315468316642528
1.71,0.030692987198439
1.72,0.0298190359607952
1.73,0.0289256712882812
1.74,0.0280135865178564
1.75,0.0270834749864807
1.76,0.0261360300311137
1.77,0.0251719449887149
1.78,0.0241919131962441
1.79,0.0231966279906609
1.8,0.022186782708925
1.81,0.021163070687996
1.82,0.0201261852648336
1.83,0.0190768197763974
1.84,0.0180156675596471
1.85,0.0169434219515423
1.86,0.0158607762890427
1.87,0.014768423909108
1.88,0.0136670581486978
1.89,0.0125573723447717
1.9,0.0114400598342895
1.91,0.0103158139542106
1.92,0.009185328041495
1.93,0.008049295433102
1.94,0.0069084094659915
1.95,0.0057633634771231
1.96,0.0046148508034564
1.97,0.0034635647819511
1.98,0.0023101987495668
1.99,0.0011554460432632
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0023462122660292
3.02,0.0047642915432257
3.03,0.007256771146791
3.04,0.009826184391927
3.05,0.0124750645938351
3.06,0.0152059450677175
3.07,0.0180213591287754
3.08,0.0209238400922111
3.09,0.0239159212732257
3.1,0.0270001359870215
3.11,0.0301790175487999
3.12,0.0334550992737627
3.13,0.0368309144771117
3.14,0.0403089964740487
3.15,0.0438918785797751
3.16,0.0475820941094931
3.17,0.0513821763784039
3.18,0.0552946587017098
3.19,0.059322074394612
3.2,0.0634669567723126
3.21,0.0677318391500131
3.22,0.0721192548429155
3.23,0.0766317371662211
3.24,0.0812718194351322
3.25,0.0860420349648499
3.26,0.0909449170705763
3.27,0.0959829990675134
3.28,0.1011588142708623
3.29,0.1064748959958252
3.3,0.1119337775576035
3.31,0.1175379922713995
3.32,0.1232900734524141
3.33,0.1291925544158497
3.34,0.1352479684769076
3.35,0.14145884895079
3.36,0.1478277291526981
3.37,0.1543571423978341
3.38,0.1610496220013993
3.39,0.167907701278596
3.4,0.1749339135446251
3.41,0.1821307921146892
3.42,0.1895008703039893
3.43,0.1970466814277279
3.44,0.2047707588011059
3.45,0.2126756357393258
3.46,0.2207638455575885
3.47,0.2290379215710968
3.48,0.2375003970950512
3.49,0.2461538054446545
3.5,0.2550006799351076
3.51,0.2640435538816127
3.52,0.2732849605993718
3.53,0.2827274334035858
3.54,0.2923735056094573
3.55,0.3022257105321874
3.56,0.3122865814869782
3.57,0.3225586517890312
3.58,0.3330444547535484
3.59,0.3437465236957311
3.6,0.3546673919307816
3.61,0.3658095927739009
3.62,0.3771756595402916
3.63,0.3887681255451546
3.64,0.4005895241036925
3.65,0.4126423885311059
3.66,0.4249292521425978
3.67,0.4374526482533687
3.68,0.4502151101786215
3.69,0.4632191712335568
3.7,0.4764673647333775
3.71,0.489962223993284
3.72,0.5037062823284796
3.73,0.5177020730541644
3.74,0.5319521294855416
3.75,0.5464589849378116
3.76,0.5612251727261767
3.77,0.5762532261658395
3.78,0.5915456785720001
3.79,0.6071050632598619
3.8,0.622933913544625
3.81,0.6390347627414927
3.82,0.6554101441656652
3.83,0.6720625911323457
3.84,0.6889946369567346
3.85,0.7062088149540349
3.86,0.7237076584394468
3.87,0.7414937007281739
3.88,0.7595694751354161
3.89,0.7779375149763766
