wind_speed,S&G Engineering SG2700.116 DD
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.3911590630281889
2.02,0.7880591647224433
2.03,1.1906413437487808
2.04,1.5988466387732938
2.05,2.012616088461976
2.06,2.4318907314809266
2.07,2.856611606496158
2.08,3.286719752173763
2.09,3.7221562071797374
2.1,4.162862010180183
2.11,4.608778199841104
2.12,5.05984581482859
2.13,5.516005893808655
2.14,5.977199475447386
2.15,6.443367598410785
2.16,6.914451301364957
2.17,7.390391622975904
2.18,7.871129601909717
2.19,8.356606276832403
2.2,8.846762686410049
2.21,9.341539869308669
2.22,9.840878864194355
2.23,10.344720709733114
2.24,10.853006444591038
2.25,11.365677107434133
2.26,11.882673736928467
2.27,12.403937371740115
2.28,12.929409050535089
2.29,13.459029811979468
2.3,13.992740694739274
2.31,14.530482737480584
2.32,15.072196978869414
2.33,15.617824457571857
2.34,16.16730621225392
2.35,16.720583281581696
2.36,17.27759670422118
2.37,17.838287518838484
2.38,18.4025967640996
2.39,18.970465478670626
2.4,19.541834701217567
2.41,20.11664547040652
2.42,20.694838824903485
2.43,21.27635580337457
2.44,21.86113744448575
