wind_speed,ATB Riva Calzoni ATB 60.28 DD
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0259946595094815
2.02,0.0523858418755442
2.03,0.0791700699547656
2.04,0.1063438666037289
2.05,0.13390375467901
2.06,0.1618462570371921
2.07,0.1901678965348529
2.08,0.2188651960285752
2.09,0.2479346783749356
2.1,0.2773728664305172
2.11,0.307176283051897
2.12,0.3373414510956578
2.13,0.3678648934183768
2.14,0.3987431328766369
2.15,0.4299726923270149
2.16,0.4615500946260942
2.17,0.4934718626304515
2.18,0.5257345191966697
2.19,0.5583345871813259
2.2,0.5912685894410027
2.21,0.6245330488322777
2.22,0.6581244882117332
2.23,0.692039430435947
2.24,0.7262743983615013
2.25,0.7608259148449734
2.26,0.7956905027429448
2.27,0.8308646849119966
2.28,0.8663449842087061
2.29,0.9021279234896566
2.3,0.9382100256114244
2.31,0.9745878134305928
2.32,1.0112578098037388
2.33,1.048216537587445
2.34,1.085460519638289
2.35,1.1229862788128535
2.36,1.1607903379677151
2.37,1.198869219959457
2.38,1.2372194476446567
2.39,1.2758375438798963
2.4,1.314720031521753
2.41,1.3538634334268107
