wind_speed,Enercon E-115 2.500
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.122876277306279
1.88,0.3184968981132505
1.89,0.518414700191665
1.9,0.7226257517689025
1.91,0.93112612107234
1.92,1.143911876329358
1.93,1.360979085767339
1.94,1.5823238176136565
1.95,1.8079421400956992
1.96,2.037830121440834
1.97,2.271983829876455
1.98,2.5103993336299366
1.99,2.753072700928658
2.0,3.0
2.01,3.251177299071333
2.02,3.50660066637006
2.03,3.766266170123534
2.04,4.030169878559164
2.05,4.298307859904296
2.06,4.57067618238634
2.07,4.847270914232653
2.08,5.128088123670642
2.09,5.413123878927652
2.1,5.702374248231096
2.11,5.995835299808326
2.12,6.293503101886748
2.13,6.595373722693719
2.14,6.901443230456641
2.15,7.211707693402864
2.16,7.526163179759805
2.17,7.844805757754811
2.18,8.16763149561529
2.19,8.494636461568593
2.2,8.825816723842127
2.21,9.161168350663246
2.22,9.500687410259358
2.23,9.844369970857814
2.24,10.192212100686028
2.25,10.54420986797134
2.26,10.90035934094115
2.27,11.260656587822854
2.28,11.625097676843804
2.29,11.993678676231408
2.3,12.366395654213012
2.31,12.74324467901603
2.32,13.124221818867806
2.33,13.50932314199576
2.34,13.898544716627235
2.35,14.29188261098965
2.36,14.689332893310336
2.37,15.09089163181672
2.38,15.49655489473615
2.39,15.906318750296029
2.4,16.32017926672371
