wind_speed,Multibrid M5000
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0521624228506205
2.02,0.1042935451174746
2.03,0.1563620662167879
2.04,0.208336685564799
2.05,0.260186102577731
2.06,0.3118790166718219
2.07,0.3633841272632978
2.08,0.4146701337683964
2.09,0.4657057356033414
2.1,0.5164596321843702
2.11,0.56690052292771
2.12,0.6169971072495939
2.13,0.6667180845662528
2.14,0.7160321542939185
2.15,0.7649080158488188
2.16,0.8133143686471922
2.17,0.8612199121052624
2.18,0.908593345639267
2.19,0.9554033686654312
2.2,1.0016186805999905
2.21,1.0472079808591728
2.22,1.0921399688592135
2.23,1.1363833440163416
2.24,1.1799068057467874
2.25,1.2226790534667842
2.26,1.2646687865925612
2.27,1.3058447045403518
2.28,1.3461755067263854
2.29,1.3856298925668955
2.3,1.4241765614781086
2.31,1.4617842128762617
2.32,1.4984215461775832
2.33,1.5340572607983058
2.34,1.568660056154659
2.35,1.6021986316628751
2.36,1.6346416867391826
2.37,1.6659579207998156
2.38,1.6961160332610068
2.39,1.7250847235389846
2.4,1.75283269104998
2.41,1.7793286352102269
2.42,1.8045412554359557
