wind_speed,Iskra AT5-1
1.0,0.0
1.01,0.0008207122982538
1.02,0.0016156945774647
1.03,0.0023852269388353
1.04,0.003129589483568
1.05,0.0038490623128652
1.06,0.0045439255279294
1.07,0.0052144592299631
1.08,0.0058609435201686
1.09,0.0064836584997485
1.1,0.0070828842699051
1.11,0.007658900931841
1.12,0.0082119885867586
1.13,0.0087424273358604
1.14,0.0092504972803487
1.15,0.0097364785214261
1.16,0.0102006511602951
1.17,0.010643295298158
1.18,0.0110646910362173
1.19,0.0114651184756754
1.2,0.0118448577177349
1.21,0.0122041888635982
1.22,0.0125433920144677
1.23,0.0128627472715459
1.24,0.0131625347360352
1.25,0.0134430345091381
1.26,0.0137045266920571
1.27,0.0139472913859945
1.28,0.0141716086921529
1.29,0.0143777587117347
1.3,0.0145660215459423
1.31,0.0147366772959782
1.32,0.0148900060630449
1.33,0.0150262879483448
1.34,0.0151458030530804
1.35,0.015248831478454
1.36,0.0153356533256683
1.37,0.0154065486959255
1.38,0.0154617976904283
1.39,0.0155016804103789
1.4,0.01552647695698
1.41,0.0155364674314338
1.42,0.015531931934943
1.43,0.0155131505687099
1.44,0.0154804034339369
1.45,0.0154339706318267
1.46,0.0153741322635815
1.47,0.0153011684304038
1.48,0.0152153592334962
1.49,0.015116984774061
1.5,0.0150063251533007
1.51,0.0148836604724178
1.52,0.0147492708326147
1.53,0.0146034363350939
1.54,0.0144464370810577
1.55,0.0142785531717088
1.56,0.0141000647082495
1.57,0.0139112517918822
1.58,0.0137123945238095
1.59,0.0135037730052338
1.6,0.0132856673373575
1.61,0.013058357621383
1.62,0.012822123958513
1.63,0.0125772464499497
1.64,0.0123240051968956
1.65,0.0120626803005533
1.66,0.0117935518621251
1.67,0.0115168999828135
1.68,0.011233004763821
1.69,0.01094214630635
1.7,0.0106446047116029
1.71,0.0103406600807823
1.72,0.0100305925150905
1.73,0.0097146821157301
1.74,0.0093932089839034
1.75,0.0090664532208129
1.76,0.0087346949276612
1.77,0.0083982142056505
1.78,0.0080572911559835
1.79,0.0077122058798625
1.8,0.00736323847849
1.81,0.0070106690530684
1.82,0.0066547777048002
1.83,0.0062958445348879
1.84,0.0059341496445338
