wind_speed,ecotècnia ECO 12/30
1.0,0.0
1.01,0.0045759965066686
1.02,0.0090140232694176
1.03,0.013315473922024
1.04,0.0174817420982646
1.05,0.0215142214319164
1.06,0.0254143055567564
1.07,0.0291833881065617
1.08,0.032822862715109
1.09,0.0363341230161755
1.1,0.039718562643538
1.11,0.0429775752309736
1.12,0.0461125544122591
1.13,0.0491248938211716
1.14,0.0520159870914881
1.15,0.0547872278569855
1.16,0.0574400097514407
1.17,0.0599757264086308
1.18,0.0623957714623327
1.19,0.0647015385463234
1.2,0.0668944212943798
1.21,0.0689758133402789
1.22,0.0709471083177976
1.23,0.072809699860713
1.24,0.074564981602802
1.25,0.0762143471778415
1.26,0.0777591902196086
1.27,0.0792009043618802
1.28,0.0805408832384333
1.29,0.0817805204830447
1.3,0.0829212097294916
1.31,0.0839643446115509
1.32,0.0849113187629994
1.33,0.0857635258176143
1.34,0.0865223594091724
1.35,0.0871892131714507
1.36,0.0877654807382263
1.37,0.088252555743276
1.38,0.0886518318203768
1.39,0.0889647026033057
1.4,0.0891925617258397
1.41,0.0893368028217557
1.42,0.0893988195248307
1.43,0.0893800054688417
1.44,0.0892817542875656
1.45,0.0891054596147793
1.46,0.08885251508426
1.47,0.0885243143297844
1.48,0.0881222509851297
1.49,0.0876477186840726
1.5,0.0871021110603904
1.51,0.0864868217478598
1.52,0.0858032443802578
1.53,0.0850527725913615
1.54,0.0842368000149477
1.55,0.0833567202847936
1.56,0.0824139270346759
1.57,0.0814098138983717
1.58,0.080345774509658
1.59,0.0792232025023117
1.6,0.0780434915101097
1.61,0.0768080351668291
1.62,0.0755182271062469
1.63,0.0741754609621399
1.64,0.0727811303682853
1.65,0.0713366289584597
1.66,0.0698433503664403
1.67,0.0683026882260042
1.68,0.0667160361709282
1.69,0.0650847878349891
1.7,0.0634103368519642
1.71,0.0616940768556303
1.72,0.0599374014797643
1.73,0.0581417043581433
1.74,0.0563083791245442
1.75,0.054438819412744
1.76,0.0525344188565196
1.77,0.050596571089648
1.78,0.0486266697459062
1.79,0.0466261084590712
1.8,0.0445962808629199
1.81,0.0425385805912292
1.82,0.0404544012777762
1.83,0.0383451365563378
1.84,0.0362121800606909
1.85,0.0340569254246126
1.86,0.0318807662818798
1.87,0.0296850962662695
1.88,0.0274713090115586
1.89,0.0252407981515242
1.9,0.0229949573199431
1.91,0.0207351801505923
1.92,0.0184628602772488
1.93,0.0161793913336896
1.94,0.0138861669536916
1.95,0.0115845807710319
1.96,0.0092760264194874
1.97,0.0069618975328349
1.98,0.0046435877448515
1.99,0.0023224906893142
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.004714966250588
3.02,0.0095683277099883
3.03,0.0145591162093152
3.04,0.0196863635796847
3.05,0.024949101652211
3.06,0.0303463622580102
3.07,0.0358771772281966
3.08,0.0415405783938863
3.09,0.0473355975861935
3.1,0.0532612666362341
3.11,0.059316617375123
3.12,0.0655006816339752
3.13,0.0718124912439062
3.14,0.0782510780360311
3.15,0.0848154738414648
3.16,0.091504710491323
3.17,0.0983178198167199
3.18,0.105253833648772
3.19,0.1123117838185933
3.2,0.1194907021572997
3.21,0.1267896204960057
3.22,0.1342075706658273
3.23,0.1417435844978789
3.24,0.1493966938232765
3.25,0.1571659304731342
3.26,0.1650503262785679
3.27,0.1730489130706929
3.28,0.1811607226806237
3.29,0.1893847869394762
3.3,0.1977201376783649
3.31,0.2061658067284056
3.32,0.214720825920713
3.33,0.2233842270864025
3.34,0.2321550420565888
3.35,0.2410323026623882
3.36,0.2500150407349142
3.37,0.2591022881052838
3.38,0.2682930766046107
3.39,0.277586438064011
3.4,0.2869814043145992
3.41,0.296477007187491
3.42,0.3060722785138011
3.43,0.3157662501246452
3.44,0.3255579538511379
3.45,0.3354464215243952
3.46,0.3454306849755309
3.47,0.3555097760356617
3.48,0.3656827265359015
3.49,0.3759485683073665
3.5,0.3863063331811709
3.51,0.3967550529884305
3.52,0.4072937595602607
3.53,0.4179214847277758
3.54,0.428637260322092
3.55,0.4394401181743235
3.56,0.4503290901155863
3.57,0.4613032079769949
3.58,0.472361503589665
3.59,0.4835030087847111
3.6,0.4947267553932493
3.61,0.5060317752463936
3.62,0.5174171001752603
3.63,0.5288817620109639
3.64,0.5404247925846201
3.65,0.5520452237273432
3.66,0.5637420872702495
3.67,0.5755144150444529
3.68,0.5873612388810698
3.69,0.5992815906112143
3.7,0.6112745020660026
3.71,0.6233390050765486
3.72,0.6354741314739691
3.73,0.6476789130893778
