wind_speed,Enercon E-70 E4 2.300
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0305180793036666
1.72,0.0791426127989899
1.73,0.1291343711557728
1.74,0.1804945249146772
1.75,0.2332242446163637
1.76,0.2873247008014959
1.77,0.3427970640107368
1.78,0.3996425047847464
1.79,0.4578621936641889
1.8,0.5174573011897254
1.81,0.5784289979020184
1.82,0.6407784543417296
1.83,0.7045068410495219
1.84,0.7696153285660574
1.85,0.8361050874319977
1.86,0.9039772881880056
1.87,0.9732331013747432
1.88,1.0438736975328702
1.89,1.1159002472030526
1.9,1.1893139209259516
1.91,1.2641158892422282
1.92,1.3403073226925457
1.93,1.4178893918175663
1.94,1.49686326715795
1.95,1.5772301192543623
1.96,1.658991118647462
1.97,1.7421474358779143
1.98,1.82670024148638
1.99,1.9126507060135212
2.0,2.0
2.01,2.088749293986477
2.02,2.1788997585136203
2.03,2.270452564122083
2.04,2.3634088813525387
2.05,2.4577698807456363
2.06,2.553536732842049
2.07,2.6507106081824325
2.08,2.7492926773074555
2.09,2.84928411075777
2.1,2.950686079074049
2.11,3.0534997527969456
2.12,3.1577263024671303
2.13,3.2633668986252578
2.14,3.370422711811997
2.15,3.478894912568001
2.16,3.5887846714339444
2.17,3.7000931589504775
2.18,3.812821545658273
2.19,3.926971002097982
2.2,4.042542698810277
2.21,4.159537806335811
2.22,4.277957495215256
2.23,4.397802935989263
2.24,4.519075299198507
2.25,4.641775755383637
2.26,4.765905475085321
2.27,4.891465628844227
2.28,5.018457387201006
2.29,5.146881920696334
2.3,5.276740399870858
2.31,5.408033995265253
2.32,5.540763877420169
