wind_speed,Baltic WindWerke BW 3200
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.2084198898572733
2.02,0.4215571395166249
2.03,0.639429108780095
2.04,0.8620531574497772
2.05,1.0894466453277083
2.06,1.3216269322159793
2.07,1.5586113779166355
2.08,1.800417342231766
2.09,2.0470621849634085
2.1,2.298563265913656
2.11,2.55493794488455
2.12,2.816203581678182
2.13,3.0823775360965904
2.14,3.353477167941868
2.15,3.6295198370160513
2.16,3.9105229031212394
2.17,4.196503726059466
2.18,4.487479665632826
2.19,4.783468081643357
2.2,5.084486333893151
2.21,5.390551782184251
2.22,5.701681786318744
2.23,6.017893706098674
2.24,6.339204901326136
2.25,6.665632731803158
2.26,6.997194557331826
2.27,7.333907737714223
2.28,7.675789632752381
2.29,8.0228576022484
2.3,8.375129006004313
2.31,8.732621203822216
2.32,9.09535155550414
2.33,9.46333742085219
2.34,9.836596159668396
2.35,10.21514513175486
2.36,10.59900169691361
2.37,10.988183214946748
2.38,11.382707045656304
2.39,11.782590548844375
2.4,12.187851084313005
2.41,12.598506011864275
2.42,13.014572691300234
2.43,13.43606848242298
