wind_speed,WDRVM WD2.5-103
1.0,0.0
1.01,0.2864260503217591
1.02,0.5642161393272842
1.03,0.8334574989490625
1.04,1.0942373611195817
1.05,1.346642957771328
1.06,1.5907615208367891
1.07,1.826680282248453
1.08,2.0544864739388053
1.09,2.274267327840336
1.1,2.486110075885529
1.11,2.690101950006872
1.12,2.8863301821368545
1.13,3.074882004207958
1.14,3.255844648152679
1.15,3.429305345903498
1.16,3.5953513293929054
1.17,3.754069830553388
1.18,3.905548081317431
1.19,4.049873313617522
1.2,4.18713275938615
1.21,4.3174136505558005
1.22,4.44080321905896
1.23,4.557388696828119
1.24,4.66725731579576
1.25,4.770496307894376
1.26,4.86719290505645
1.27,4.957434339214472
1.28,5.041307842300923
1.29,5.118900646248298
1.3,5.190299982989083
1.31,5.25559308445576
1.32,5.31486718258082
1.33,5.368209509296751
1.34,5.415707296536037
1.35,5.457447776231168
1.36,5.493518180314628
1.37,5.52400574071891
1.38,5.548997689376496
1.39,5.568581258219875
1.4,5.582843679181535
1.41,5.591872184193958
1.42,5.595754005189641
1.43,5.594576374101064
1.44,5.588426522860714
1.45,5.577391683401083
1.46,5.561559087654654
1.47,5.541015967553916
1.48,5.515849555031355
1.49,5.486147082019459
1.5,5.451995780450716
1.51,5.413482882257613
1.52,5.3706956193726345
1.53,5.32372122372827
1.54,5.27264692725701
1.55,5.217559961891336
1.56,5.158547559563737
1.57,5.0956969522067
1.58,5.0290953717527165
1.59,4.9588300501342655
1.6,4.884988219283841
1.61,4.807657111133926
1.62,4.726923957617015
1.63,4.642875990665587
1.64,4.555600442212134
1.65,4.465184544189138
1.66,4.371715528529089
1.67,4.27528062716448
1.68,4.175967072027789
1.69,4.073862095051508
1.7,3.9690529281681206
1.71,3.861626803310122
1.72,3.751670952409994
1.73,3.639272607400219
1.74,3.52451900021329
1.75,3.4074973627816987
1.76,3.2882949270379243
1.77,3.1669989249144543
1.78,3.043696588343784
1.79,2.918475149258392
1.8,2.791421839590768
1.81,2.6626238912733986
1.82,2.532168536238776
1.83,2.4001430064193787
1.84,2.266634533747703
1.85,2.1317303501562312
1.86,1.9955176875774487
1.87,1.8580837779438475
1.88,1.7195158531879136
1.89,1.5799011452421334
1.9,1.4393268860389925
1.91,1.297880307510979
1.92,1.1556486415905811
1.93,1.012719120210282
1.94,0.8691789753025776
1.95,0.7251154387999454
1.96,0.5806157426348846
1.97,0.4357671187398684
1.98,0.290656799047392
1.99,0.1453720154899365
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
