wind_speed,Enercon E-126 7.58 EP8
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.3129012388133727
2.02,0.6312813847741925
2.03,0.9551193450298464
2.04,1.284394026727803
2.05,1.6190843370154422
2.06,1.959169183040233
2.07,2.3046274719495683
2.08,2.655438110890912
2.09,3.0115800070116467
2.1,3.37303206745924
2.11,3.739773199381085
2.12,4.111782309924638
2.13,4.4890383062372985
2.14,4.871520095466521
2.15,5.259206584759698
2.16,5.652076681264297
2.17,6.050109292127704
2.18,6.453283324497386
2.19,6.861577685520729
2.2,7.274971282345195
2.21,7.6934430221181795
2.22,8.11697181198714
2.23,8.545536559099473
2.24,8.97911617060264
2.25,9.41768955364403
2.26,9.861235615371085
2.27,10.309733262931251
2.28,10.763161403471925
2.29,11.221498944140563
2.3,11.684724792084555
2.31,12.152817854451373
2.32,12.625757038388391
2.33,13.10352125104309
2.34,13.586089399562848
2.35,14.073440391095142
2.36,14.565553132787342
2.37,15.062406531786923
2.38,15.56397949524128
2.39,16.070250930297867
2.4,16.581199744104076
2.41,17.09680484380737
2.42,17.617045136555145
2.43,18.141899529494864
2.44,18.671346929773904
