wind_speed,Leitwind LTW90 500
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.1964625503964177
2.02,0.3964132720797386
2.03,0.5998403363368294
2.04,0.8067319144546063
2.05,1.0170761777199315
2.06,1.2308612974197226
2.07,1.448075444840848
2.08,1.668706791270223
2.09,1.8927435079947117
2.1,2.120173766301228
2.11,2.350985737476642
2.12,2.585167592807866
2.13,2.8227075035817712
2.14,3.0635936410852667
2.15,3.3078141766052216
2.16,3.5553572814285515
2.17,3.806211126842124
2.18,4.060363884132853
2.19,4.317803724587603
2.2,4.578518819493291
2.21,4.842497340136784
2.22,5.109727457804997
2.23,5.380197343784796
2.24,5.653895169363097
2.25,5.930809105826766
2.26,6.2109273244627055
2.27,6.494237996557818
2.28,6.780729293398971
2.29,7.0703893862730816
2.3,7.363206446467013
2.31,7.659168645267681
2.32,7.958264153961952
2.33,8.260481143836742
2.34,8.565807786178919
2.35,8.874232252275398
2.36,9.18574271341304
2.37,9.500327340878767
2.38,9.817974305959442
2.39,10.13867177994198
2.4,10.462407934113248
2.41,10.789170939760163
2.42,11.11894896816959
2.43,11.45173019062845
