wind_speed,Aventa AV-7
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0019528571428571
1.71,0.0043986550863422
1.72,0.0069043621978021
1.73,0.0094696367817896
1.74,0.0120941371428571
1.75,0.0147775215855573
1.76,0.0175194484144427
1.77,0.0203195759340659
1.78,0.0231775624489796
1.79,0.0260930662637363
1.8,0.0290657456828885
1.81,0.032095259010989
1.82,0.0351812645525903
1.83,0.0383234206122449
1.84,0.0415213854945055
1.85,0.0447748175039246
1.86,0.048083374945055
1.87,0.051446716122449
1.88,0.0548644993406593
1.89,0.0583363829042386
1.9,0.0618620251177393
1.91,0.0654410842857142
1.92,0.0690732187127158
1.93,0.0727580867032967
1.94,0.0764953465620093
1.95,0.0802846565934065
1.96,0.0841256751020407
1.97,0.0880180603924646
1.98,0.0919614707692307
1.99,0.0959555645368916
2.0,0.1
2.01,0.1040944354631082
2.02,0.1082385292307692
2.03,0.1124319396075352
2.04,0.1166743248979592
2.05,0.1209653434065933
2.06,0.1253046534379905
2.07,0.1296919132967031
2.08,0.1341267812872842
2.09,0.1386089157142856
2.1,0.1431379748822606
2.11,0.1477136170957613
2.12,0.1523355006593407
2.13,0.157003283877551
2.14,0.1617166250549451
2.15,0.1664751824960752
2.16,0.1712786145054945
2.17,0.176126579387755
2.18,0.1810187354474098
2.19,0.1859547409890109
2.2,0.1909342543171115
2.21,0.1959569337362637
2.22,0.2010224375510204
2.23,0.206130424065934
2.24,0.2112805515855573
2.25,0.2164724784144426
2.26,0.2217058628571427
2.27,0.2269803632182103
2.28,0.2322956378021976
2.29,0.2376513449136577
2.3,0.2430471428571427
