wind_speed,Enercon E-126 EP4
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.3212268373692177
2.02,0.6482366769362518
2.03,0.9810125208988644
2.04,1.319537371454894
2.05,1.6637942308020932
2.06,2.013766101138301
2.07,2.3694359846612816
2.08,2.730786883568872
2.09,3.097801800058826
2.1,3.4704637363289823
2.11,3.848755694577101
2.12,4.232660677001022
2.13,4.622161685798503
2.14,5.017241723167381
2.15,5.417883791305411
2.16,5.824070892410437
2.17,6.2357860286802165
2.18,6.653012202312585
2.19,7.075732415505305
2.2,7.503929670456204
2.21,7.937586969363053
2.22,8.376687314423684
2.23,8.821213707835856
2.24,9.271149151797411
2.25,9.726476648506102
2.26,10.187179200159749
2.27,10.653239808956169
2.28,11.12464147709312
2.29,11.601367206768446
2.3,12.0834000001799
2.31,12.570722859525322
2.32,13.063318787002466
2.33,13.561170784809176
2.34,14.064261855143204
2.35,14.5725750002024
2.36,15.086093222184507
2.37,15.604799523287376
2.38,16.12867690570876
2.39,16.657708371646493
2.4,17.191876923298338
2.41,17.731165562862138
2.42,18.27555729253564
2.43,18.8250351145167
2.44,19.379582031003046
