wind_speed,W2E Wind to Energy W2E-138/3.0fc
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.1584188007547826
2.02,0.3221001164806214
2.03,0.4911064621485366
2.04,0.6655003527295982
2.05,0.8453443031948247
2.06,1.0307008285152808
2.07,1.2216324436619956
2.08,1.4182016636060268
2.09,1.6204710033184035
2.1,1.8285029777701889
2.11,2.0423601019324025
2.12,2.2621048907761185
2.13,2.4877998592723483
2.14,2.7195075223921705
2.15,2.9572903951065985
2.16,3.2012109923867005
2.17,3.4513318292034985
2.18,3.7077154205280607
2.19,3.970424281331408
2.2,4.239520926584605
2.21,4.515067871258678
2.22,4.79712763032469
2.23,5.085762718753664
2.24,5.381035651516671
2.25,5.683008943584719
2.26,5.991745109928878
2.27,6.307306665520198
2.28,6.629756125329699
2.29,6.959156004328454
2.3,7.29556881748748
2.31,7.63905707977784
2.32,7.98968330617056
2.33,8.34751001163671
2.34,8.712599711147302
2.35,9.085014919673418
2.36,9.464818152186064
2.37,9.852071923656323
2.38,10.246838749055197
2.39,10.64918114335377
2.4,11.059161621523051
2.41,11.47684269853412
2.42,11.90228688935798
