wind_speed,PowerWind PW56
1.0,0.0
1.01,0.0274573547848515
1.02,0.0538406184706623
1.03,0.0791656909675237
1.04,0.103448472185527
1.05,0.1267048620347635
1.06,0.1489507604253244
1.07,0.1702020672673013
1.08,0.1904746824707853
1.09,0.2097845059458679
1.1,0.2281474376026402
1.11,0.2455793773511936
1.12,0.2620962251016196
1.13,0.277713880764009
1.14,0.2924482442484538
1.15,0.3063152154650451
1.16,0.319330694323874
1.17,0.3315105807350321
1.18,0.3428707746086106
1.19,0.3534271758547007
1.2,0.3631956843833938
1.21,0.3721922001047813
1.22,0.3804326229289544
1.23,0.3879328527660045
1.24,0.3947087895260229
1.25,0.400776333119101
1.26,0.4061513834553301
1.27,0.4108498404448013
1.28,0.414887603997606
1.29,0.4182805740238359
1.3,0.421044650433582
1.31,0.4231957331369356
1.32,0.4247497220439878
1.33,0.4257225170648306
1.34,0.4261300181095546
1.35,0.4259881250882516
1.36,0.4253127379110126
1.37,0.4241197564879294
1.38,0.4224250807290928
1.39,0.4202446105445942
1.4,0.4175942458445253
1.41,0.4144898865389767
1.42,0.4109474325380406
1.43,0.4069827837518078
1.44,0.4026118400903696
1.45,0.3978505014638175
1.46,0.3927146677822432
1.47,0.387220238955737
1.48,0.3813831148943909
1.49,0.3752191955082962
1.5,0.3687443807075442
1.51,0.361974570402226
1.52,0.3549256645024332
1.53,0.3476135629182568
1.54,0.3400541655597886
1.55,0.3322633723371198
1.56,0.3242570831603412
1.57,0.3160511979395446
1.58,0.3076616165848215
1.59,0.2991042390062625
1.6,0.2903949651139595
1.61,0.2815496948180034
1.62,0.2725843280284865
1.63,0.2635147646554989
1.64,0.254356904609133
1.65,0.2451266477994786
1.66,0.2358398941366284
1.67,0.2265125435306736
1.68,0.217160495891705
1.69,0.2077996511298142
1.7,0.1984459091550921
1.71,0.189115169877631
1.72,0.1798233332075212
1.73,0.1705862990548544
1.74,0.1614199673297215
1.75,0.1523402379422149
1.76,0.1433630108024257
1.77,0.1345041858204437
1.78,0.1257796629063621
1.79,0.1172053419702713
1.8,0.1087971229222628
1.81,0.1005709056724274
1.82,0.0925425901308575
1.83,0.0847280762076435
1.84,0.0771432638128771
1.85,0.0698040528566498
1.86,0.0627263432490524
1.87,0.0559260349001766
1.88,0.0494190277201137
1.89,0.0432212216189552
1.9,0.0373485165067919
1.91,0.0318168122937153
1.92,0.0266420088898169
1.93,0.0218400062051876
1.94,0.0174267041499196
1.95,0.0134180026341035
1.96,0.0098298015678313
1.97,0.0066780008611933
1.98,0.0039785004242809
1.99,0.0017472001671856
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0005732958500803
2.07,0.0026599937948128
2.08,0.0053579911101837
2.09,0.0086831877062851
2.1,0.0126514834932085
2.11,0.0172787783810446
2.12,0.0225809722798868
2.13,0.0285739650998233
2.14,0.0352736567509479
2.15,0.0426959471433507
2.16,0.0508567361871235
2.17,0.0597719237923566
2.18,0.0694574098691427
2.19,0.0799290943275723
2.2,0.0912028770777375
2.21,0.1032946580297293
2.22,0.1162203370936385
2.23,0.1299958141795563
2.24,0.1446369891975765
2.25,0.160159762057785
2.26,0.176580032670278
2.27,0.1939137009451461
2.28,0.2121766667924789
2.29,0.2313848301223693
2.3,0.2515540908449081
2.31,0.2727003488701873
2.32,0.2948395041082952
2.33,0.3179874564693268
2.34,0.3421601058633707
2.35,0.3673733522005218
2.36,0.3936430953908671
2.37,0.4209852353445025
2.38,0.4494156719715136
2.39,0.4789503051819972
2.4,0.5096050348860408
2.41,0.5413957609937388
2.42,0.5743383834151787
2.43,0.6084488020604559
2.44,0.643742916839658
2.45,0.6802366276628811
2.46,0.7179458344402119
2.47,0.7568864370817447
2.48,0.7970743354975673
2.49,0.8385254295977758
2.5,0.8812556192924554
2.51,0.9252808044917034
2.52,0.970616885105609
2.53,1.017279761044262
2.54,1.0652853322177562
2.55,1.1146494985361817
2.56,1.1653881599096296
2.57,1.217517216248191
2.58,1.2710525674619602
2.59,1.326010113461022
2.6,1.3824057541554762
2.61,1.4402553894554049
