wind_speed,Hummer H25.0-100KW
1.0,0.0
1.01,0.0560955619210572
1.02,0.11200733805555
1.03,0.1677371848255647
1.04,0.2232869586531879
1.05,0.2786585159605061
1.06,0.3338537131696058
1.07,0.3888744067025735
1.08,0.4437224529814957
1.09,0.4983997084284591
1.1,0.55290802946555
1.11,0.6072492725148547
1.12,0.6614252939984602
1.13,0.7154379503384514
1.14,0.7692890979569176
1.15,0.8229805932759436
1.16,0.8765142927176165
1.17,0.9298920527040224
1.18,0.983115729657248
1.19,1.0361871799993796
1.2,1.089108260152504
1.21,1.1418808265387077
1.22,1.1945067355800767
1.23,1.246987843698698
1.24,1.299326007316658
1.25,1.3515230828560432
1.26,1.4035809267389403
1.27,1.4555013953874356
1.28,1.507286345223615
1.29,1.5589376326695663
1.3,1.6104571141473754
1.31,1.6618466460791286
1.32,1.7131080848869122
1.33,1.764243286992814
1.34,1.815254108818919
1.35,1.8661424067873145
1.36,1.9169100373200856
1.37,1.9675588568393216
1.38,2.018090721767106
1.39,2.0685074885255275
1.4,2.118811013536672
1.41,2.1690031532226253
1.42,2.2190857640054755
1.43,2.2690607023073075
1.44,2.3189298245502084
1.45,2.3686949871562653
1.46,2.418358046547564
1.47,2.46792085914619
1.48,2.5173852813742323
1.49,2.5667531696537758
1.5,2.6160263804069066
1.51,2.665206770055712
1.52,2.7142961950222797
1.53,2.7632965117286923
1.54,2.8122095765970405
1.55,2.86103724604941
1.56,2.909781376507885
1.57,2.9584438243945543
1.58,3.007026446131504
1.59,3.05553109814082
1.6,3.1039596368445888
1.61,3.1523139186648965
1.62,3.2005958000238315
1.63,3.2488071373434777
1.64,3.296949787045924
1.65,3.345025605553256
1.66,3.39303644928756
1.67,3.440984174670923
1.68,3.48887063812543
1.69,3.5366976960731704
1.7,3.584467204936228
1.71,3.6321810211366894
1.72,3.679841001096644
1.73,3.727449001238175
1.74,3.77500687798337
1.75,3.8225164877543167
1.76,3.869979686973101
1.77,3.917398332061807
1.78,3.964774279442524
1.79,4.012109385537339
1.8,4.059405506768336
1.81,4.106664499557604
1.82,4.153888220327228
1.83,4.201078525499294
1.84,4.24823727149589
1.85,4.295366314739102
1.86,4.342467511651015
1.87,4.3895427186537175
1.88,4.436593792169294
1.89,4.483622588619835
1.9,4.530630964427423
1.91,4.577620776014145
1.92,4.624593879802092
1.93,4.671552132213344
1.94,4.718497389669991
1.95,4.7654315085941175
1.96,4.812356345407814
1.97,4.859273756533163
1.98,4.906185598392254
1.99,4.95309372740717
2.0,5.0
2.01,5.04690627259283
2.02,5.093814401607747
2.03,5.140726243466836
2.04,5.187643654592186
2.05,5.234568491405882
2.06,5.281502610330009
2.07,5.328447867786656
2.08,5.37540612019791
2.09,5.422379223985852
2.1,5.469369035572577
2.11,5.516377411380165
2.12,5.563406207830705
2.13,5.610457281346283
2.14,5.657532488348986
2.15,5.704633685260899
2.16,5.751762728504112
2.17,5.798921474500707
2.18,5.846111779672775
2.19,5.893335500442396
2.2,5.940594493231666
2.21,5.9878906144626605
2.22,6.035225720557477
2.23,6.082601667938193
2.24,6.130020313026901
2.25,6.177483512245684
2.26,6.224993122016628
2.27,6.272550998761825
2.28,6.320158998903356
2.29,6.36781897886331
2.3,6.415532795063772
2.31,6.46330230392683
2.32,6.511129361874568
2.33,6.559015825329077
2.34,6.606963550712439
2.35,6.654974394446745
2.36,6.703050212954075
2.37,6.751192862656522
2.38,6.799404199976169
2.39,6.847686081335104
2.4,6.896040363155411
2.41,6.944468901859181
2.42,6.992973553868497
2.43,7.041556175605448
2.44,7.090218623492114
2.45,7.138962753950594
2.46,7.187790423402959
2.47,7.236703488271308
2.48,7.285703804977722
2.49,7.334793229944289
2.5,7.383973619593093
2.51,7.433246830346224
2.52,7.48261471862577
2.53,7.532079140853808
2.54,7.581641953452436
2.55,7.631305012843734
2.56,7.681070175449792
2.57,7.730939297692692
2.58,7.780914235994526
2.59,7.8309968467773725
2.6,7.881188986463329
2.61,7.93149251147447
2.62,7.981909278232893
2.63,8.03244114316068
2.64,8.083089962679916
2.65,8.133857593212685
2.66,8.184745891181084
2.67,8.235756713007186
2.68,8.28689191511309
2.69,8.338153353920871
2.7,8.389542885852627
2.71,8.441062367330433
2.72,8.492713654776384
2.73,8.544498604612565
2.74,8.596419073261062
2.75,8.648476917143958
2.76,8.700673992683342
2.77,8.753012156301303
2.78,8.805493264419923
2.79,8.858119173461294
2.8,8.910891739847496
2.81,8.963812820000621
2.82,9.01688427034275
2.83,9.070107947295975
2.84,9.123485707282384
2.85,9.177019406724057
2.86,9.230710902043084
2.87,9.284562049661549
2.88,9.33857470600154
2.89,9.392750727485144
2.9,9.447091970534451
2.91,9.501600291571544
2.92,9.556277547018508
2.93,9.61112559329743
2.94,9.666146286830395
2.95,9.721341484039495
2.96,9.776713041346811
2.97,9.832262815174436
2.98,9.88799266194445
2.99,9.943904438078944
3.0,10.0
3.01,10.056281347707625
3.02,10.112751055513462
3.03,10.169411841307088
3.04,10.226266422978073
3.05,10.283317518415966
3.06,10.340567845510355
3.07,10.3980201221508
3.08,10.455677066226867
3.09,10.513541395628128
3.1,10.571615828244145
3.11,10.629903081964486
3.12,10.688405874678718
3.13,10.747126924276415
3.14,10.806068948647138
3.15,10.865234665680456
3.16,10.924626793265942
3.17,10.98424804929315
3.18,11.04410115165166
3.19,11.104188818231034
3.2,11.16451376692084
3.21,11.22507871561065
3.22,11.285886382190023
3.23,11.346939484548528
3.24,11.408240740575744
3.25,11.469792868161225
3.26,11.53159858519454
3.27,11.593660609565267
3.28,11.65598165916296
3.29,11.718564451877196
3.3,11.781411705597534
3.31,11.844526138213553
3.32,11.907910467614812
3.33,11.97156741169088
3.34,12.035499688331324
3.35,12.099710015425716
3.36,12.164201110863614
3.37,12.228975692534595
3.38,12.294036478328218
3.39,12.35938618613406
3.4,12.425027533841682
3.41,12.490963239340651
3.42,12.55719602052054
3.43,12.623728595270912
3.44,12.690563681481333
3.45,12.757703997041377
3.46,12.825152259840598
3.47,12.892911187768584
3.48,12.960983498714883
3.49,13.029371910569074
3.5,13.09807914122072
3.51,13.167107908559387
3.52,13.23646093047465
3.53,13.30614092485607
3.54,13.376150609593218
3.55,13.44649270257565
3.56,13.51716992169295
3.57,13.588184984834678
3.58,13.6595406098904
3.59,13.731239514749683
3.6,13.803284417302104
3.61,13.875678035437216
3.62,13.948423087044596
3.63,14.021522290013808
3.64,14.09497836223442
3.65,14.168794021595998
3.66,14.242971985988111
3.67,14.31751497330033
3.68,14.39242570142222
3.69,14.467706888243343
3.7,14.543361251653277
3.71,14.619391509541575
3.72,14.695800379797818
3.73,14.772590580311569
3.74,14.849764828972395
3.75,14.927325843669855
3.76,15.005276342293532
3.77,15.08361904273299
3.78,15.162356662877784
3.79,15.241491920617497
3.8,15.32102753384168
3.81,15.400966220439916
3.82,15.481310698301767
3.83,15.5620636853168
3.84,15.64322789937458
3.85,15.724806058364678
3.86,15.80680088017666
3.87,15.889215082700096
3.88,15.972051383824544
3.89,16.055312501439584
3.9,16.139001153434773
3.91,16.223120057699692
3.92,16.307671932123895
3.93,16.392659494596952
3.94,16.478085463008433
3.95,16.56395255524791
3.96,16.65026348920494
3.97,16.7370209827691
3.98,16.82422775382995
3.99,16.91188652027706
4.0,17.0
4.01,17.08857019286343
4.02,17.177596226632403
4.03,17.267076511047062
4.04,17.357009455847535
4.05,17.44739347077398
4.06,17.53822696556654
4.07,17.62950834996536
4.08,17.72123603371057
4.09,17.813408426542324
4.1,17.90602393820076
4.11,17.999080978426026
4.12,18.092577956958262
4.13,18.18651328353761
4.14,18.28088536790421
4.15,18.375692619798222
4.16,18.470933448959777
4.17,18.56660626512901
4.18,18.66270947804608
4.19,18.75924149745112
4.2,18.85620073308427
4.21,18.953585594685684
4.22,19.0513944919955
4.23,19.14962583475387
4.24,19.248278032700917
4.25,19.3473494955768
4.26,19.44683863312165
4.27,19.546743855075626
