wind_speed,DWT Danish Wind Tech Windane 34 US
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0023083427634683
2.02,0.0046153003827643
2.03,0.0069194877137152
2.04,0.0092195196121488
2.05,0.0115140109338922
2.06,0.0138015765347732
2.07,0.0160808312706191
2.08,0.0183503899972577
2.09,0.0206088675705161
2.1,0.0228548788462222
2.11,0.0250870386802033
2.12,0.0273039619282868
2.13,0.0295042634463004
2.14,0.0316865580900715
2.15,0.0338494607154275
2.16,0.0359915861781963
2.17,0.0381115493342049
2.18,0.0402079650392811
2.19,0.0422794481492524
2.2,0.0443246135199462
2.21,0.0463420760071899
2.22,0.0483304504668113
2.23,0.0502883517546377
2.24,0.0522143947264965
2.25,0.0541071942382155
2.26,0.055965365145622
2.27,0.0577875223045436
2.28,0.0595722805708076
2.29,0.0613182548002418
2.3,0.0630240598486734
2.31,0.0646883105719301
2.32,0.0663096218258394
2.33,0.0678866084662288
2.34,0.0694178853489257
2.35,0.0709020673297577
2.36,0.0723377692645521
2.37,0.0737236060091367
2.38,0.0750581924193388
2.39,0.076340143350986
2.4,0.0775680736599057
2.41,0.0787405982019255
