wind_speed,CRRC CWT1500-D77
1.0,0.0
1.01,0.1689724505948057
1.02,0.3328502544380092
1.03,0.4916848726079095
1.04,0.6455277661828057
1.05,0.7944303962409969
1.06,0.9384442238607816
1.07,1.0776207101204591
1.08,1.2120113160983288
1.09,1.3416675028726897
1.1,1.4666407315218402
1.11,1.5869824631240792
1.12,1.7027441587577066
1.13,1.8139772795010185
1.14,1.9207332864323188
1.15,2.0230636406299043
1.16,2.1210198031720737
1.17,2.214653235137125
1.18,2.3040153976033606
1.19,2.389157751649075
1.2,2.4701317583525704
1.21,2.546988878792145
1.22,2.619780574046097
1.23,2.688558305192726
1.24,2.753373533310332
1.25,2.814277719477213
1.26,2.871322324771667
1.27,2.924558810271996
1.28,2.974038637056495
1.29,3.019813266203466
1.3,3.061934158791208
1.31,3.1004527758980185
1.32,3.1354205786021976
1.33,3.166889027982044
1.34,3.194909585115855
1.35,3.219533711081932
1.36,3.2408128669585725
1.37,3.258798513824078
1.38,3.273542112756745
1.39,3.285095124834873
1.4,3.293509011136761
1.41,3.298835232740708
1.42,3.3011252507250144
1.43,3.3004305261679785
1.44,3.296802520147898
1.45,3.290292693743073
1.46,3.280952508031803
1.47,3.2688334240923846
1.48,3.2539869030031205
1.49,3.2364644058423067
1.5,3.2163173936882434
1.51,3.19359732761923
1.52,3.168355668713564
1.53,3.140643878049546
1.54,3.1105134167054747
1.55,3.0780157457596498
1.56,3.043202326290367
1.57,3.006124619375928
1.58,2.9668340860946345
1.59,2.925382187524779
1.6,2.8818203847446657
1.61,2.83620013883259
1.62,2.788572910866857
1.63,2.7389901619257584
1.64,2.6875033530876
1.65,2.634163945430672
1.66,2.57902340003328
1.67,2.522133177973724
1.68,2.4635447403302995
1.69,2.403309548181305
1.7,2.3414790626050417
1.71,2.278104744679809
1.72,2.213238055483906
1.73,2.1469304560956277
1.74,2.079233407593275
1.75,2.0101983710551523
1.76,1.939876807559554
1.77,1.8683201781847765
1.78,1.7955799440091234
1.79,1.7217075661108914
1.8,1.646754505568381
1.81,1.570772223459889
1.82,1.493812180863718
1.83,1.415925838858162
1.84,1.3371646585215244
1.85,1.2575801009321037
1.86,1.1772236271681955
1.87,1.0961466983081023
1.88,1.0144007754301227
1.89,0.9320373196125558
1.9,0.8491077919336978
1.91,0.7656636534718495
1.92,0.6817563653053103
1.93,0.5974373885123783
1.94,0.5127581841713567
1.95,0.4277702133605352
1.96,0.3425249371582255
1.97,0.2570738166427171
1.98,0.1714683128923091
1.99,0.0857598869853022
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
