wind_speed,FREEN 20 kW
1.0,0.0
1.01,9.13193075186305e-05
1.02,0.0001771417623096
1.03,0.0002575791608495
1.04,0.0003327432996149
1.05,0.0004027459750821
1.06,0.0004676989837277
1.07,0.0005277141220282
1.08,0.0005829031864601
1.09,0.0006333779734999
1.1,0.000679250279624
1.11,0.0007206319013091
1.12,0.0007576346350315
1.13,0.0007903702772678
1.14,0.0008189506244945
1.15,0.0008434874731881
1.16,0.000864092619825
1.17,0.0008808778608818
1.18,0.000893954992835
1.19,0.0009034358121611
1.2,0.0009094321153365
1.21,0.0009120556988378
1.22,0.0009114183591414
1.23,0.000907631892724
1.24,0.0009008080960618
1.25,0.0008910587656316
1.26,0.0008784956979096
1.27,0.0008632306893726
1.28,0.0008453755364969
1.29,0.000825042035759
1.3,0.0008023419836355
1.31,0.0007773871766029
1.32,0.0007502894111376
1.33,0.0007211604837161
1.34,0.000690112190815
1.35,0.0006572563289107
1.36,0.0006227046944797
1.37,0.0005865690839986
1.38,0.0005489612939438
1.39,0.0005099931207919
1.4,0.0004697763610193
1.41,0.0004284228111025
1.42,0.000386044267518
1.43,0.0003427525267424
1.44,0.0002986593852521
1.45,0.0002538766395236
1.46,0.0002085160860335
1.47,0.0001626895212581
1.48,0.0001165087416741
1.49,7.008554375793311e-05
1.5,2.353172398603196e-05
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,9.502659342465816e-05
2.02,0.0001957359817715
2.03,0.0003022399615171
2.04,0.0004146503291379
2.05,0.0005330788811104
2.06,0.0006576374139111
2.07,0.0007884377240166
2.08,0.0009255916079032
2.09,0.0010692108620476
2.1,0.0012194072829261
2.11,0.0013762926670154
2.12,0.0015399788107919
2.13,0.001710577510732
2.14,0.0018882005633124
2.15,0.0020729597650094
2.16,0.0022649669122997
2.17,0.0024643338016596
2.18,0.0026711722295658
2.19,0.0028855939924946
2.2,0.0031077108869226
2.21,0.0033376347093263
2.22,0.0035754772561821
2.23,0.0038213503239667
2.24,0.0040753657091564
2.25,0.0043376352082278
2.26,0.0046082706176574
2.27,0.0048873837339216
2.28,0.0051750863534971
2.29,0.0054714902728602
2.3,0.0057767072884874
2.31,0.0060908491968553
2.32,0.0064140277944404
2.33,0.0067463548777192
2.34,0.0070879422431681
2.35,0.0074389016872637
2.36,0.0077993450064824
2.37,0.0081693839973008
2.38,0.0085491304561953
2.39,0.0089386961796425
2.4,0.0093381929641189
2.41,0.0097477326061009
2.42,0.010167426902065
2.43,0.0105973876484878
2.44,0.0110377266418457
2.45,0.0114885556786153
2.46,0.011949986555273
2.47,0.0124221310682953
2.48,0.0129051010141588
2.49,0.0133990081893399
2.5,0.0139039643903151
2.51,0.014420081413561
2.52,0.014947471055554
2.53,0.0154862451127706
2.54,0.0160365153816874
2.55,0.0165983936587807
2.56,0.0171719917405272
2.57,0.0177574214234033
2.58,0.0183547945038855
2.59,0.0189642227784504
2.6,0.0195858180435743
2.61,0.0202196920957339
2.62,0.0208659567314056
2.63,0.0215247237470659
2.64,0.0221961049391913
2.65,0.0228802121042583
2.66,0.0235771570387434
2.67,0.024287051539123
2.68,0.0250100074018739
2.69,0.0257461364234722
2.7,0.0264955504003947
2.71,0.0272583611291178
2.72,0.028034680406118
2.73,0.0288246200278718
2.74,0.0296282917908556
2.75,0.030445807491546
2.76,0.0312772789264196
2.77,0.0321228178919527
2.78,0.0329825361846219
2.79,0.0338565456009036
2.8,0.0347449579372745
2.81,0.0356478849902109
2.82,0.0365654385561894
2.83,0.0374977304316865
2.84,0.0384448724131786
2.85,0.0394069762971423
2.86,0.040384153880054
2.87,0.0413765169583904
2.88,0.0423841773286278
2.89,0.0434072467872428
2.9,0.0444458371307118
2.91,0.0455000601555113
2.92,0.0465700276581179
2.93,0.0476558514350082
2.94,0.0487576432826584
2.95,0.0498755149975452
2.96,0.051009578376145
2.97,0.0521599452149344
2.98,0.0533267273103898
2.99,0.0545100364589878
3.0,0.0557099844572048
3.01,0.0569266831015173
3.02,0.0581602441884019
3.03,0.059410779514335
3.04,0.0606784008757932
3.05,0.0619632200692528
3.06,0.0632653488911906
3.07,0.0645848991380828
3.08,0.0659219826064061
3.09,0.0672767110926368
3.1,0.0686491963932517
3.11,0.070039550304727
3.12,0.0714478846235394
3.13,0.0728743111461653
3.14,0.0743189416690812
3.15,0.0757818879887635
3.16,0.077263261901689
3.17,0.0787631752043339
3.18,0.0802817396931749
3.19,0.0818190671646882
3.2,0.0833752694153507
3.21,0.0849504582416386
3.22,0.0865447454400286
3.23,0.088158242806997
3.24,0.0897910621390205
3.25,0.0914433152325754
3.26,0.0931151138841383
3.27,0.0948065698901858
3.28,0.0965177950471942
3.29,0.0982489011516401
3.3,0.1
3.31,0.1017712648277303
3.32,0.1035631146262075
3.33,0.1053760298257878
3.34,0.1072104908568275
3.35,0.1090669781496831
3.36,0.1109459721347107
3.37,0.1128479532422669
3.38,0.1147734019027077
3.39,0.1167227985463897
3.4,0.1186966236036691
3.41,0.1206953575049023
3.42,0.1227194806804456
3.43,0.1247694735606552
3.44,0.1268458165758876
3.45,0.1289489901564991
3.46,0.1310794747328458
3.47,0.1332377507352845
3.48,0.135424298594171
3.49,0.137639598739862
3.5,0.1398841316027136
3.51,0.1421583776130822
3.52,0.1444628172013242
3.53,0.1467979307977958
3.54,0.1491641988328536
3.55,0.1515621017368535
3.56,0.1539921199401522
3.57,0.1564547338731059
3.58,0.1589504239660709
3.59,0.1614796706494033
3.6,0.1640429543534599
3.61,0.1666407555085967
3.62,0.1692735545451702
3.63,0.1719418318935366
3.64,0.1746460679840523
