wind_speed,HEAG HW3/S2500(97)
1.0,0.0
1.01,0.082067650992285
1.02,0.1615525587385714
1.03,0.2384830337766977
1.04,0.3128873866445022
1.05,0.3847939278798233
1.06,0.4542309680204993
1.07,0.5212268176043684
1.08,0.5858097871692693
1.09,0.6480081872530405
1.1,0.7078503283935199
1.11,0.7653645211285459
1.12,0.8205790759959573
1.13,0.8735223035335908
1.14,0.9242225142792878
1.15,0.9727080187708846
1.16,1.0190071275462202
1.17,1.063148151143133
1.18,1.1051594000994611
1.19,1.1450691849530426
1.2,1.1829058162417163
1.21,1.218697604503321
1.22,1.2524728602756938
1.23,1.2842598940966743
1.24,1.3140870165041
1.25,1.34198253803581
1.26,1.3679747692296422
1.27,1.3920920206234353
1.28,1.414362602755027
1.29,1.434814826162256
1.3,1.4534770013829617
1.31,1.4703774389549809
1.32,1.4855444494161525
1.33,1.4990063433043153
1.34,1.5107914311573072
1.35,1.520928023512967
1.36,1.5294444309091322
1.37,1.5363689638836424
1.38,1.5417299329743352
1.39,1.5455556487190487
1.4,1.5478744216556226
1.41,1.548714562321893
1.42,1.548104381255701
1.43,1.5460721889948832
1.44,1.5426462960772775
1.45,1.537855013040724
1.46,1.5317266504230609
1.47,1.5242895187621244
1.48,1.515571928595755
1.49,1.5056021904617902
1.5,1.4944086148980684
1.51,1.482019512442429
1.52,1.4684631936327086
1.53,1.4537679690067469
1.54,1.4379621491023815
1.55,1.4210740444574517
1.56,1.4031319656097947
1.57,1.38416422309725
1.58,1.3641991274576557
1.59,1.3432649892288486
1.6,1.3213901189486696
1.61,1.2986028271549543
1.62,1.274931424385545
1.63,1.2504042211782755
1.64,1.2250495280709883
1.65,1.1988956556015182
1.66,1.171970914307706
1.67,1.1443036147273893
1.68,1.1159220673984058
1.69,1.0868545828585952
1.7,1.0571294716457935
1.71,1.026775044297843
1.72,0.9958196113525792
1.73,0.9642914833478398
1.74,0.9322189708214642
1.75,0.8996303843112926
1.76,0.8665540343551619
1.77,0.8330182314909086
1.78,0.7990512862563743
1.79,0.7646815091893956
1.8,0.7299372108278114
1.81,0.6948467017094587
1.82,0.6594382923721779
1.83,0.6237402933538061
1.84,0.5877810151921821
1.85,0.5515887684251446
1.86,0.5151918635905308
1.87,0.4786186112261801
1.88,0.4418973218699317
1.89,0.4050563060596222
1.9,0.3681238743330904
1.91,0.3311283372281748
1.92,0.2940980052827142
1.93,0.2570611890345458
1.94,0.2200461990215094
1.95,0.1830813457814424
1.96,0.146194939852186
1.97,0.1094152917715733
1.98,0.0727707120774454
1.99,0.0362895113076413
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0201201059033246
2.78,0.0860071397243036
2.79,0.1543223954966786
2.8,0.2250941837582809
2.81,0.2983508150469571
2.82,0.3741205999005359
2.83,0.4524318488568664
2.84,0.5333128724537763
2.85,0.6167919812291132
2.86,0.70289748572071
2.87,0.7916576964664088
2.88,0.8831009240040402
2.89,0.9772554788714558
2.9,1.0741496716064771
2.91,1.17381181274696
2.92,1.2762702128307293
2.93,1.3815531823956313
2.94,1.4896890319794984
2.95,1.6007060721201751
2.96,1.714632613355496
2.97,1.831496966223304
2.98,1.9513274412614263
2.99,2.074152349007715
3.0,2.2
3.01,2.328916294238275
3.02,2.4610174895712107
3.03,2.5964374333095885
3.04,2.7353099727642376
3.05,2.8777689552459456
3.06,3.023948228065539
3.07,3.1739816385338124
3.08,3.328003033961588
