wind_speed,Vensys 120/3000
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
