wind_speed,Nordtank NTK 400
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0062658436536875
2.02,0.0125279274251949
2.03,0.0187824914323413
2.04,0.0250257757929467
2.05,0.03125402062483
2.06,0.0374634660458113
2.07,0.0436503521737098
2.08,0.0498109191263458
2.09,0.0559414070215379
2.1,0.0620380559771064
2.11,0.0680971061108704
2.12,0.0741147975406497
2.13,0.0800873703842639
2.14,0.0860110647595325
2.15,0.0918821207842748
2.16,0.097696778576311
2.17,0.1034512782534601
2.18,0.1091418599335421
2.19,0.1147647637343762
2.2,0.1203162297737822
2.21,0.1257924981695792
2.22,0.1311898090395876
2.23,0.1365044025016264
2.24,0.1417325186735153
2.25,0.1468703976730737
2.26,0.1519142796181214
2.27,0.1568604046264781
2.28,0.1617050128159631
2.29,0.166444344304396
2.3,0.1710746392095962
2.31,0.1755921376493837
2.32,0.1799930797415778
2.33,0.1842737056039983
2.34,0.1884302553544645
2.35,0.192458969110796
2.36,0.1963560869908123
2.37,0.2001178491123331
2.38,0.2037404955931783
2.39,0.2072202665511669
2.4,0.2105534021041183
2.41,0.213736142369853
2.42,0.2167647274661901
