wind_speed,Windflow 45-500
1.0,0.0
1.01,0.000273148106579
1.02,0.0005297417824563
1.03,0.0007701188731564
1.04,0.0009946172242037
1.05,0.0012035746811229
1.06,0.0013973290894384
1.07,0.0015762182946747
1.08,0.0017405801423565
1.09,0.0018907524780082
1.1,0.0020270731471543
1.11,0.0021498799953194
1.12,0.002259510868028
1.13,0.0023563036108047
1.14,0.0024405960691738
1.15,0.0025127260886601
1.16,0.0025730315147879
1.17,0.0026218501930819
1.18,0.0026595199690665
1.19,0.0026863786882663
1.2,0.0027027641962058
1.21,0.0027090143384095
1.22,0.002705466960402
1.23,0.0026924599077078
1.24,0.0026703310258513
1.25,0.0026394181603572
1.26,0.00260005915675
1.27,0.0025525918605541
1.28,0.0024973541172942
1.29,0.0024346837724946
1.3,0.0023649186716801
1.31,0.002288396660375
1.32,0.0022054555841039
1.33,0.0021164332883914
1.34,0.0020216676187619
1.35,0.00192149642074
1.36,0.0018162575398503
1.37,0.0017062888216172
1.38,0.0015919281115652
1.39,0.0014735132552189
1.4,0.0013513820981029
1.41,0.0012258724857416
1.42,0.0010973222636595
1.43,0.0009660692773813
1.44,0.0008324513724314
1.45,0.0006968063943343
1.46,0.0005594721886146
1.47,0.0004207866007967
1.48,0.0002810874764054
1.49,0.0001407126609649
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0002897025372808
2.02,0.0005946081231652
2.03,0.0009130275300307
2.04,0.0012432715302546
2.05,0.0015836508962143
2.06,0.0019324764002871
2.07,0.0022880588148505
2.08,0.0026487089122817
2.09,0.0030127374649582
2.1,0.0033784552452573
2.11,0.0037441730255564
2.12,0.0041082015782328
2.13,0.0044688516756641
2.14,0.0048244340902274
2.15,0.0051732595943002
2.16,0.0055136389602599
2.17,0.0058438829604838
2.18,0.0061623023673493
2.19,0.0064672079532338
2.2,0.0067569104905146
2.21,0.0070297207515691
2.22,0.0072839495087747
2.23,0.0075179075345088
2.24,0.0077299056011487
2.25,0.0079182544810718
2.26,0.0080812649466554
2.27,0.008217247770277
2.28,0.008324513724314
2.29,0.0084013735811436
2.3,0.0084461381131432
2.31,0.0084571180926903
2.32,0.0084326242921622
2.33,0.0083709674839363
2.34,0.0082704584403899
2.35,0.0081294079339004
2.36,0.0079461267368451
2.37,0.0077189256216016
2.38,0.0074461153605471
2.39,0.0071260067260589
2.4,0.0067569104905146
2.41,0.0063371374262913
2.42,0.0058649983057666
2.43,0.0053388039013178
2.44,0.0047568649853222
2.45,0.0041174923301573
2.46,0.0034189967082004
2.47,0.0026596888918288
2.48,0.0018378796534199
2.49,0.0009518797653512
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0037826874153522
3.02,0.0077947719418576
3.03,0.0120122665472745
3.04,0.0164111841993619
3.05,0.0209675378658781
3.06,0.0256573405145821
3.07,0.0304566051132323
3.08,0.0353413446295876
3.09,0.0402875720314065
3.1,0.045271300286448
3.11,0.0502685423624702
3.12,0.0552553112272324
3.13,0.0602076198484927
3.14,0.0651014811940103
3.15,0.0699129082315434
3.16,0.0746179139288511
3.17,0.0791925112536916
3.18,0.0836127131738241
3.19,0.0878545326570068
3.2,0.0918939826709989
3.21,0.0957070761835584
3.22,0.0992698261624446
3.23,0.1025582455754157
3.24,0.1055483473902308
3.25,0.1082161445746482
3.26,0.1105376500964267
3.27,0.112488876923325
3.28,0.1140458380231019
3.29,0.1151845463635159
3.3,0.1158810149123257
3.31,0.1161112566372899
3.32,0.1158512845061674
3.33,0.1150771114867166
3.34,0.1137647505466965
3.35,0.1118902146538654
3.36,0.1094295167759823
3.37,0.1063586698808056
3.38,0.1026536869360942
3.39,0.0982905809096066
3.4,0.0932453647691017
3.41,0.0874940514823378
3.42,0.081012654017074
3.43,0.0737771853410685
3.44,0.0657636584220806
3.45,0.0569480862278681
3.46,0.0473064817261908
3.47,0.0368148578848062
3.48,0.0254492276714741
3.49,0.013185604053952
3.5,0.0
3.51,0.0
3.52,0.0
3.53,0.0
3.54,0.0
3.55,0.0
3.56,0.0
3.57,0.0
3.58,0.0
3.59,0.0
3.6,0.0
3.61,0.0
3.62,0.0
3.63,0.0
3.64,0.0
3.65,0.0
3.66,0.0
3.67,0.0
3.68,0.0
3.69,0.0
3.7,0.0
3.71,0.0
3.72,0.0
3.73,0.0
3.74,0.0
3.75,0.0
3.76,0.0
3.77,0.0
3.78,0.0
3.79,0.0
3.8,0.0
3.81,0.0
3.82,0.0
3.83,0.0
3.84,0.0
3.85,0.0
3.86,0.0
3.87,0.0
3.88,0.0
3.89,0.0
3.9,0.0
3.91,0.0
3.92,0.0
3.93,0.0
3.94,0.0
3.95,0.0
3.96,0.0
3.97,0.0
3.98,0.0
3.99,0.0
4.0,0.0
4.01,0.0527222915460656
4.02,0.1089671612101547
4.03,0.1687267013790036
4.04,0.2319930044393315
