wind_speed,Garuda G 1700.84
1.0,0.0
1.01,0.4125090331395563
1.02,0.8125806079934976
1.03,1.200340355453598
1.04,1.575913906411632
1.05,1.9394268917593724
1.06,2.291004942388593
1.07,2.630773689191069
1.08,2.958858763058573
1.09,3.275385794882881
1.1,3.580480415555764
1.11,3.874268255968997
1.12,4.156874947014354
1.13,4.428426119583604
1.14,4.689047404568532
1.15,4.938864432860906
1.16,5.178002835352498
1.17,5.406588242935085
1.18,5.62474628650044
1.19,5.832602596940333
1.2,6.030282805146545
1.21,6.217912542010844
1.22,6.395617438425005
1.23,6.563523125280805
1.24,6.721755233470015
1.25,6.870439393884411
1.26,7.009701237415762
1.27,7.13966639495585
1.28,7.26046049739644
1.29,7.372209175629312
1.3,7.475038060546239
1.31,7.569072783038992
1.32,7.654438973999348
1.33,7.731262264319083
1.34,7.799668284889961
1.35,7.859782666603767
1.36,7.911731040352266
1.37,7.955639037027243
1.38,7.99163228752046
1.39,8.019836422723696
1.4,8.040377073528727
1.41,8.053379870827323
1.42,8.05897044551126
1.43,8.057274428472315
1.44,8.048417450602257
1.45,8.03252514279286
1.46,8.0097231359359
1.47,7.980137060923148
1.48,7.943892548646383
1.49,7.901115229997375
1.5,7.851930735867897
1.51,7.796464697149726
1.52,7.734842744734634
1.53,7.667190509514395
1.54,7.593633622380786
1.55,7.514297714225577
1.56,7.429308415940541
1.57,7.3387913584174544
1.58,7.242872172548099
1.59,7.1416764892242295
1.6,7.035329939337636
1.61,6.923958153780083
1.62,6.807686763443355
1.63,6.686641399219213
1.64,6.560947691999445
1.65,6.43073127267581
1.66,6.2961177721400885
1.67,6.157232821284059
1.68,6.01420205099949
1.69,5.867151092178158
1.7,5.716205575711828
1.71,5.561491132492289
1.72,5.403133393411308
1.73,5.241257989360651
1.74,5.075990551232102
1.75,4.907456709917434
1.76,4.735782096308423
1.77,4.561092341296828
1.78,4.383513075774443
1.79,4.203169930633028
1.8,4.020188536764364
1.81,3.834694525060218
1.82,3.646813526412373
1.83,3.4566711717125944
1.84,3.264393091852662
1.85,3.0701049177243465
1.86,2.8739322802194214
1.87,2.676000810229663
1.88,2.4764361386468488
1.89,2.2753638963627467
1.9,2.072909714269128
1.91,1.8691992232577688
1.92,1.664358054220448
1.93,1.4585118380489304
1.94,1.251786205635005
1.95,1.0443067878704255
1.96,0.8361992156469915
1.97,0.627589119856454
1.98,0.4186021313905925
1.99,0.2093638811411793
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.425046491425148
3.02,0.8626279175688532
3.03,1.3127161239721823
3.04,1.775282956176316
3.05,2.250300259722342
3.06,2.73773988015142
3.07,3.237573663004652
3.08,3.7497734538232175
3.09,4.274311098148186
3.1,4.811158441520736
3.11,5.360287329481969
3.12,5.921669607573025
3.13,6.495277121335048
3.14,7.0810817163091615
3.15,7.679055238036468
3.16,8.289169532058162
3.17,8.911396443915288
3.18,9.545707819149044
3.19,10.192075503300536
3.2,10.850471341910916
3.21,11.520867180521252
3.22,12.203234864672767
3.23,12.897546239906507
3.24,13.60377315176367
3.25,14.321887445785324
3.26,15.051860967512637
3.27,15.793665562486751
3.28,16.547273076248747
3.29,17.31265535433983
3.3,18.089784242301068
3.31,18.878631585673627
3.32,19.679169229998596
