wind_speed,AERODAN 75/15
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0016351818471296
2.02,0.0032693824870303
2.03,0.0049016207124729
2.04,0.0065309153162286
2.05,0.0081562850910683
2.06,0.0097767488297629
2.07,0.0113913253250835
2.08,0.0129990333698013
2.09,0.0145988917566869
2.1,0.0161899192785116
2.11,0.0177711347280462
2.12,0.0193415568980618
2.13,0.0209002045813294
2.14,0.02244609657062
2.15,0.0239782516587046
2.16,0.0254956886383542
2.17,0.0269974263023398
2.18,0.0284824834434324
2.19,0.0299498788544029
2.2,0.0313986313280225
2.21,0.0328277596570619
2.22,0.0342362826342925
2.23,0.035623219052485
2.24,0.0369875877044104
2.25,0.0383284073828399
2.26,0.0396446968805443
2.27,0.0409354749902948
2.28,0.0421997605048622
2.29,0.0434365722170176
2.3,0.0446449289195319
2.31,0.0458238494051763
2.32,0.0469723524667216
2.33,0.0480894568969389
2.34,0.0491741814885992
2.35,0.0502255450344735
2.36,0.0512425663273326
2.37,0.0522242641599478
2.38,0.05316965732509
2.39,0.0540777646155302
2.4,0.0549476048240392
2.41,0.0557781967433884
