wind_speed,CRRC CWT1500-D83
1.0,0.0
1.01,0.3187423964719914
1.02,0.6278744694322644
1.03,0.927493292855685
1.04,1.217695940717119
1.05,1.4985794869914322
1.06,1.7702410056534903
1.07,2.032777570678159
1.08,2.286286256040304
1.09,2.5308641357147934
1.1,2.76660828367649
1.11,2.9936157739002605
1.12,3.211983680360972
1.13,3.421809077033484
1.14,3.623189037892673
1.15,3.8162206369133993
1.16,4.001000948070529
1.17,4.177627045338928
1.18,4.346196002693463
1.19,4.506804894108998
1.2,4.6595507935604
1.21,4.804530775022536
1.22,4.941841912470268
1.23,5.071581279878465
1.24,5.193845951221992
1.25,5.3087330004757165
1.26,5.416339501614503
1.27,5.516762528613216
1.28,5.610099155446722
1.29,5.696446456089888
1.3,5.775901504517581
1.31,5.848561374704664
1.32,5.914523140626002
1.33,5.973883876256466
1.34,6.026740655570916
1.35,6.0731905525442205
1.36,6.113330641151246
1.37,6.147257995366857
1.38,6.175069689165922
1.39,6.196862796523304
1.4,6.212734391413869
1.41,6.222781547812481
1.42,6.227101339694012
1.43,6.225790841033325
1.44,6.218947125805281
1.45,6.206667267984752
1.46,6.189048341546604
1.47,6.166187420465698
1.48,6.138181578716903
1.49,6.105127890275083
1.5,6.067123429115107
1.51,6.0242652692118375
1.52,5.976650484540141
1.53,5.9243761490748845
1.54,5.867539336790935
1.55,5.806237121663157
1.56,5.740566577666414
1.57,5.670624778775574
1.58,5.596508798965508
1.59,5.51831571221107
1.6,5.436142592487134
1.61,5.350086513768562
1.62,5.260244550030231
1.63,5.166713775246992
1.64,5.069591263393718
1.65,4.968974088445273
1.66,4.864959324376523
1.67,4.757644045162338
1.68,4.647125324777576
1.69,4.533500237197108
1.7,4.416865856395798
1.71,4.297319256348514
1.72,4.174957511030123
1.73,4.049877694415483
1.74,3.922176880479465
1.75,3.7919521431969416
1.76,3.659300556542772
1.77,3.524319194491816
1.78,3.3871051310189504
1.79,3.2477554400990343
1.8,3.1063671957069365
1.81,2.96303747181752
1.82,2.8178633424056545
1.83,2.6709418814462027
1.84,2.5223701629140325
1.85,2.372245260784009
1.86,2.220664249030993
1.87,2.06772420162986
1.88,1.9135221925554744
1.89,1.758155295782697
1.9,1.601720585286393
1.91,1.44431513504143
1.92,1.2860360190226745
1.93,1.1269803112049903
1.94,0.9672450855632516
1.95,0.8069274160723103
1.96,0.6461243767070486
1.97,0.4849330414423174
1.98,0.3234504842529881
1.99,0.161773779113926
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.3284327199836895
3.02,0.6665674675796655
3.03,1.0143988729135391
3.04,1.3719215661110422
3.05,1.7391301772977898
3.06,2.116019336599496
3.07,2.5025836741417824
3.08,2.8988178200503776
