wind_speed,WinWinD WWD-1 D64
1.0,0.0
1.01,0.1291216718413726
1.02,0.2543502279488344
1.03,0.3757249927237381
1.04,0.4932852905674365
1.05,0.607070445881282
1.06,0.7171197830666273
1.07,0.823472626524825
1.08,0.9261683006572276
1.09,1.0252461298651885
1.1,1.1207454385500593
1.11,1.2127055511131923
1.12,1.3011657919559418
1.13,1.3861654854796577
1.14,1.4677439560856964
1.15,1.5459405281754082
1.16,1.6207945261501464
1.17,1.6923452744112637
1.18,1.7606320973601124
1.19,1.8256943193980448
1.2,1.8875712649264127
1.21,1.9463022583465723
1.22,2.001926624059872
1.23,2.054483686467667
1.24,2.104012769971309
1.25,2.150553198972151
1.26,2.1941442978715457
1.27,2.2348253910708453
1.28,2.272635802971402
1.29,2.307614857974569
1.3,2.339801880481701
1.31,2.3692361948941465
1.32,2.395957125613261
1.33,2.4200039970403973
1.34,2.441416133576906
1.35,2.460232859624141
1.36,2.4764934995834547
1.37,2.4902373778562
1.38,2.50150381884373
1.39,2.510332146947396
1.4,2.516761686568552
1.41,2.5208317621085485
1.42,2.522581697968741
1.43,2.5220508185504813
1.44,2.51927844825512
1.45,2.514303911484012
1.46,2.507166532638509
1.47,2.497905636119964
1.48,2.486560546329729
1.49,2.4731705876691565
1.5,2.4577750845396014
1.51,2.4404133613424133
1.52,2.4211247424789466
1.53,2.399948552350552
1.54,2.3769241153585856
1.55,2.352090755904398
1.56,2.325487798389341
1.57,2.2971545672147684
1.58,2.267130386782034
1.59,2.2354545814924864
1.6,2.2021664757474824
1.61,2.1673053939483715
1.62,2.130910660496511
1.63,2.093021599793248
1.64,2.053677536239939
1.65,2.012917794237933
1.66,1.970781698188586
1.67,1.9273085724932504
1.68,1.8825377415532771
1.69,1.83650852977002
1.7,1.7892602615448294
1.71,1.740832261279062
1.72,1.6912638533740676
1.73,1.640594362231198
1.74,1.5888631122518075
1.75,1.536109427837251
1.76,1.4823726333888776
1.77,1.4276920533080388
1.78,1.372107011996092
1.79,1.3156568338543866
1.8,1.2583808432842765
