wind_speed,TUGE 10 kW
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0003675423727941
2.02,0.0007348641981098
2.03,0.0011017449284687
2.04,0.0014679640163923
2.05,0.0018333009144022
2.06,0.00219753507502
2.07,0.0025604459507673
2.08,0.0029218129941656
2.09,0.0032814156577364
2.1,0.0036390333940015
2.11,0.0039944456554823
2.12,0.0043474318947005
2.13,0.0046977715641775
2.14,0.0050452441164351
2.15,0.0053896290039947
2.16,0.0057307056793779
2.17,0.0060682535951063
2.18,0.0064020522037016
2.19,0.0067318809576852
2.2,0.0070575193095787
2.21,0.0073787467119038
2.22,0.0076953426171819
2.23,0.0080070864779347
2.24,0.0083137577466837
2.25,0.0086151358759506
2.26,0.0089110003182568
2.27,0.009201130526124
2.28,0.0094853059520738
2.29,0.0097633060486277
2.3,0.0100349102683072
2.31,0.0102998980636341
2.32,0.0105580488871298
2.33,0.0108091421913159
2.34,0.011052957428714
2.35,0.0112892740518457
2.36,0.0115178715132325
2.37,0.011738529265396
2.38,0.0119510267608579
2.39,0.0121551434521396
2.4,0.0123506587917628
2.41,0.012537352232249
2.42,0.0127150032261198
