wind_speed,S&G Engineering SG2700.100 DD
1.0,0.0
1.01,0.3516782556579144
1.02,0.6927531468236302
1.03,1.023331778188988
1.04,1.3435212544458282
1.05,1.6534286802859914
1.06,1.9531611604013173
1.07,2.2428257994836467
1.08,2.52252970222482
1.09,2.7923799733166783
1.1,3.052483717451061
1.11,3.302948039319807
1.12,3.5438800436147604
1.13,3.775386835027754
1.14,3.99757551825064
1.15,4.210553197975251
1.16,4.41442697889343
1.17,4.609303965697016
1.18,4.795291263077852
1.19,4.972495975727772
1.2,5.141025208338623
1.21,5.3009860656022445
1.22,5.452485652210472
1.23,5.595631072855151
1.24,5.73052943222812
1.25,5.857287835021219
1.26,5.976013385926289
1.27,6.086813189635172
1.28,6.189794350839702
1.29,6.285063974231727
1.3,6.372729164503088
1.31,6.452897026345618
1.32,6.52567466445116
1.33,6.591169183511559
1.34,6.649487688218649
1.35,6.700737283264276
1.36,6.745025073340274
1.37,6.782458163138491
1.38,6.813143657350763
1.39,6.83718866066893
1.4,6.854700277784834
1.41,6.86578561339031
1.42,6.870551772177209
1.43,6.869105858837367
1.44,6.861554978062616
1.45,6.848006234544808
1.46,6.828566732975778
1.47,6.803343578047366
1.48,6.772443874451415
1.49,6.735974726879763
1.5,6.69404324002425
1.51,6.64675651857672
1.52,6.594221667229007
1.53,6.536545790672959
1.54,6.473835993600411
1.55,6.406199380703208
1.56,6.3337430566731845
1.57,6.256574126202184
1.58,6.174799693982052
1.59,6.088526864704616
1.6,5.997862743061727
1.61,5.902914433745222
1.62,5.8037890414469455
1.63,5.700593670858731
1.64,5.593435426672427
1.65,5.482421413579863
1.66,5.367658736272885
1.67,5.2492544994433405
1.68,5.127315807783058
1.69,5.001949765983884
1.7,4.873263478737655
1.71,4.74136405073622
1.72,4.60635858667141
1.73,4.468354191235068
1.74,4.327457969119034
1.75,4.183777025015158
1.76,4.0374184636152695
1.77,3.888489389611205
1.78,3.73709690769482
1.79,3.58334812255794
1.8,3.427350138892417
1.81,3.269210061390083
1.82,3.1090349947427818
1.83,2.946932043642354
1.84,2.7830083127806424
1.85,2.617370906849481
1.86,2.4501269305407147
1.87,2.2813834885461843
1.88,2.1112476855577302
1.89,1.939826626267192
1.9,1.7672274153664065
1.91,1.593557157547214
1.92,1.418922957501464
1.93,1.2434319199209851
1.94,1.0671911494976278
1.95,0.8903077509232236
1.96,0.7128888288896289
1.97,0.5350414880886638
1.98,0.3568728332121758
1.99,0.1784899689520047
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
