wind_speed,CENEMESA FL-19
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0029828828495455
2.02,0.0059639757903906
2.03,0.0089414889138344
2.04,0.0119136323111766
2.05,0.0148786160737162
2.06,0.0178346502927528
2.07,0.0207799450595859
2.08,0.0237127104655149
2.09,0.0266311566018389
2.1,0.0295334935598577
2.11,0.0324179314308705
2.12,0.0352826803061768
2.13,0.0381259502770758
2.14,0.040945951434867
2.15,0.0437408938708499
2.16,0.0465089876763239
2.17,0.0492484429425883
2.18,0.0519574697609425
2.19,0.054634278222686
2.2,0.0572770784191181
2.21,0.0598840804415382
2.22,0.0624534943812459
2.23,0.0649835303295404
2.24,0.0674723983777211
2.25,0.0699183086170875
2.26,0.0723194711389389
2.27,0.0746740960345749
2.28,0.0769803933952947
2.29,0.0792365733123978
2.3,0.0814408458771835
2.31,0.0835914211809513
2.32,0.0856865093150006
2.33,0.0877243203706308
2.34,0.0897030644391413
2.35,0.0916209516118316
2.36,0.0934761919800007
2.37,0.0952669956349484
2.38,0.0969915726679741
2.39,0.0986481331703771
2.4,0.1002348872334566
2.41,0.1017500449485123
