wind_speed,NEG Micon NM 43/600
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0030585456292174
2.02,0.0061152559475264
2.03,0.0091682956440179
2.04,0.0122158294077839
2.05,0.015256021927915
2.06,0.0182870378935034
2.07,0.0213070419936397
2.08,0.024314198917416
2.09,0.027306673353923
2.1,0.0302826299922527
2.11,0.033240233521496
2.12,0.0361776486307445
2.13,0.0390930400090896
2.14,0.0419845723456226
2.15,0.0448504103294348
2.16,0.0476887186496178
2.17,0.0504976619952628
2.18,0.0532754050554613
2.19,0.0560201125193045
2.2,0.058729949075884
2.21,0.061403079414291
2.22,0.064037668223617
2.23,0.0666318801929534
2.24,0.0691838800113913
2.25,0.0716918323680224
2.26,0.074153901951938
2.27,0.0765682534522295
2.28,0.0789330515579881
2.29,0.0812464609583054
2.3,0.0835066463422725
2.31,0.0857117723989811
2.32,0.0878600038175224
2.33,0.0899495052869879
2.34,0.0919784414964688
2.35,0.0939449771350567
2.36,0.0958472768918427
2.37,0.0976835054559183
2.38,0.0994518275163752
2.39,0.1011504077623042
2.4,0.1027774108827969
2.41,0.104331001566945
2.42,0.1058093445038396
