wind_speed,WES 18/100
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0056783693053524
2.02,0.0114563615514161
2.03,0.0173335996789011
2.04,0.0233097066285192
2.05,0.0293843053409802
2.06,0.0355570187569958
2.07,0.0418274698172763
2.08,0.0481952814625332
2.09,0.0546600766334766
2.1,0.0612214782708181
2.11,0.0678791093152678
2.12,0.0746325927075373
2.13,0.0814815513883369
2.14,0.0884256082983779
2.15,0.0954643863783705
2.16,0.1025975085690265
2.17,0.1098245978110558
2.18,0.1171452770451702
2.19,0.1245591692120796
2.2,0.1320658972524957
2.21,0.1396650841071287
2.22,0.14735635271669
2.23,0.1551393260218899
2.24,0.16301362696344
2.25,0.1709788784820503
2.26,0.1790347035184321
2.27,0.1871807250132965
2.28,0.1954165659073539
2.29,0.2037418491413157
2.3,0.2121561976558921
2.31,0.2206592343917945
2.32,0.2292505822897333
2.33,0.2379298642904199
2.34,0.2466967033345645
2.35,0.2555507223628788
2.36,0.2644915443160727
2.37,0.2735187921348579
2.38,0.2826320887599446
2.39,0.2918310571320444
2.4,0.3011153201918672
2.41,0.3104845008801248
2.42,0.3199382221375273
