wind_speed,Wind World (India) ww-53
1.0,0.0
1.01,0.0181353399329295
1.02,0.034977628960833
1.03,0.0505614191429967
1.04,0.0649212625387068
1.05,0.0780917112072497
1.06,0.0901073172079115
1.07,0.1010026325999785
1.08,0.1108122094427369
1.09,0.1195705997954731
1.1,0.1273123557174731
1.11,0.1340720292680234
1.12,0.1398841725064101
1.13,0.1447833374919193
1.14,0.1488040762838376
1.15,0.151980940941451
1.16,0.1543484835240458
1.17,0.1559412560909083
1.18,0.1567938107013247
1.19,0.1569406994145813
1.2,0.1564164742899642
1.21,0.1552556873867597
1.22,0.1534928907642541
1.23,0.1511626364817337
1.24,0.1482994765984845
1.25,0.1449379631737931
1.26,0.1411126482669455
1.27,0.136858083937228
1.28,0.1322088222439268
1.29,0.1271994152463284
1.3,0.1218644150037186
1.31,0.116238373575384
1.32,0.1103558430206107
1.33,0.104251375398685
1.34,0.0979595227688931
1.35,0.0915148371905213
1.36,0.0849518707228559
1.37,0.0783051754251829
1.38,0.0716093033567889
1.39,0.0648988065769599
1.4,0.0582082371449822
1.41,0.051572147120142
1.42,0.0450250885617255
1.43,0.0386016135290191
1.44,0.032336274081309
1.45,0.0262636222778815
1.46,0.0204182101780226
1.47,0.0148345898410188
1.48,0.0095473133261563
1.49,0.0045909326927211
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0044404772311068
1.67,0.0113486246013149
1.68,0.0192441569793893
1.69,0.0281616264246159
1.7,0.0381355849962815
1.71,0.0492005847536716
1.72,0.061391177756073
1.73,0.0747419160627719
1.74,0.0892873517330544
1.75,0.1050620368262068
1.76,0.1221005234015156
1.77,0.1404373635182663
1.78,0.160107109235746
1.79,0.1811443126132405
1.8,0.2035835257100361
1.81,0.2274593005854188
1.82,0.2528061892986755
1.83,0.2796587439090918
1.84,0.3080515164759545
1.85,0.3380190590585494
1.86,0.3695959237161628
1.87,0.4028166625080811
1.88,0.4377158274935897
1.89,0.4743279707319764
1.9,0.5126876442825268
1.91,0.5528294002045268
1.92,0.5947877905572628
1.93,0.6385973674000216
1.94,0.6842926827920881
1.95,0.7319082887927502
1.96,0.7814787374612929
1.97,0.8330385808570036
1.98,0.8866223710391672
1.99,0.9422646600670704
2.0,1.0
2.01,1.059844390837955
2.02,1.1217396243437925
2.03,1.1856089402210772
2.04,1.2513755781733835
2.05,1.318962777904275
2.06,1.3882937791173249
2.07,1.4592918215160968
2.08,1.5318801448041663
2.09,1.6059819886850937
2.1,1.6815205928624566
2.11,1.7584191970398155
2.12,1.8366010409207467
2.13,1.915989364208812
2.14,1.9965074066075872
2.15,2.0780784078206342
2.16,2.160625607551528
2.17,2.244072245503832
2.18,2.32834156138112
2.19,2.4133567948869548
2.2,2.4990411857249124
2.21,2.585317973598554
2.22,2.672110398211455
2.23,2.7593416992671784
2.24,2.8469351164693
2.25,2.93481388952138
2.26,3.022901258126991
2.27,3.111120461989707
2.28,3.1993947408130885
2.29,3.287647334300711
2.3,3.375801482156137
2.31,3.463780424082941
2.32,3.551507399784687
2.33,3.63890564896495
2.34,3.7258984113272895
2.35,3.812408926575285
2.36,3.898360434412493
2.37,3.983676174542496
2.38,4.068279386668851
2.39,4.152093310495135
2.4,4.23504118572491
2.41,4.317046252061752
2.42,4.398031749209222
2.43,4.477920916870896
2.44,4.5566369947503365
2.45,4.634103222551119
2.46,4.710242839976805
2.47,4.784979086730969
2.48,4.858235202517175
2.49,4.929934427038998
2.5,5.0
2.51,5.068397369340898
2.52,5.135260815950988
2.53,5.200766828956704
2.54,5.265091897484489
2.55,5.328412510660776
2.56,5.390905157612012
2.57,5.452746327464626
2.58,5.514112509345066
2.59,5.575180192379764
2.6,5.636125865695162
2.61,5.697126018417695
2.62,5.758357139673807
2.63,5.819995718589931
2.64,5.882218244292512
2.65,5.945201205907983
2.66,6.009121092562786
2.67,6.074154393383356
2.68,6.140477597496138
2.69,6.208267194027562
2.7,6.277699672104078
2.71,6.348951520852113
2.72,6.422199229398114
2.73,6.497619286868512
2.74,6.575388182389755
2.75,6.655682405088274
2.76,6.738678444090511
2.77,6.824552788522905
2.78,6.913481927511893
2.79,7.005642350183917
2.8,7.10121054566541
2.81,7.200363003082816
2.82,7.30327621156257
2.83,7.410126660231116
2.84,7.521090838214883
2.85,7.63634523464032
2.86,7.756066338633856
2.87,7.8804306393219425
2.88,8.009614625831002
2.89,8.14379478728749
2.9,8.283147612817832
2.91,8.427849591548474
2.92,8.578077212605848
2.93,8.7340069651164
2.94,8.89581533820656
2.95,9.063678821002783
2.96,9.237773902631488
2.97,9.41827707221913
2.98,9.60536481889213
2.99,9.799213631776947
3.0,10.0
3.01,10.207838131798445
3.02,10.422593111852258
3.03,10.6440677439521
3.04,10.872064831888666
3.05,11.106387179452607
3.06,11.346837590434632
3.07,11.593218868625389
3.08,11.845333817815575
3.09,12.10298524179585
3.1,12.365975944356906
3.11,12.6341087292894
3.12,12.907186400384036
3.13,13.185011761431458
3.14,13.467387616222371
3.15,13.754116768547435
3.16,14.04500202219734
3.17,14.33984618096274
3.18,14.63845204863434
3.19,14.940622429002788
3.2,15.246160125858792
3.21,15.554867942992995
3.22,15.866548684196104
3.23,16.18100515325877
3.24,16.498040153971694
3.25,16.817456490125526
3.26,17.139056965510953
3.27,17.46264438391867
3.28,17.78802154913933
3.29,18.114991264963628
3.3,18.44335633518221
3.31,18.77291956358579
3.32,19.10348375396502
3.33,19.4348517101106
3.34,19.766826235813173
3.35,20.099210134863444
3.36,20.431806211052063
3.37,20.764417268169744
3.38,21.096846110007128
3.39,21.428895540354915
3.4,21.76036836300376
3.41,22.091067381744367
3.42,22.420795400367385
3.43,22.749355222663517
3.44,23.07654965242341
3.45,23.40218149343776
3.46,23.72605354949724
3.47,24.04796862439253
3.48,24.3677295219143
3.49,24.685139045853237
3.5,25.0
3.51,25.31217010346529
3.52,25.62172673663997
3.53,25.92880219523487
3.54,26.233528774960853
3.55,26.536038771528748
3.56,26.836464480649447
3.57,27.134938198033787
3.58,27.43159221939263
3.59,27.72655884043681
3.6,28.019970356877224
3.61,28.31195906442467
3.62,28.60265725879006
3.63,28.892197235684204
3.64,29.18071129081799
3.65,29.46833171990225
3.66,29.755190818647865
3.67,30.041420882765653
3.68,30.327154207966505
3.69,30.61252308996125
3.7,30.897659824460764
3.71,31.18269670717588
3.72,31.46776603381748
3.73,31.753000100096383
3.74,32.03853120172349
3.75,32.324491634409604
3.76,32.61101369386562
3.77,32.898229675802384
3.78,33.18627187593075
3.79,33.47527258996157
3.8,33.765364113605685
3.81,34.05667874257398
3.82,34.34934877257728
3.83,34.64350649932647
3.84,34.93928421853238
3.85,35.23681422590589
3.86,35.53622881715783
3.87,35.837660287999064
3.88,36.14124093414044
3.89,36.44710305129283
3.9,36.75537893516707
3.91,37.06620088147405
3.92,37.37970118592457
3.93,37.69601214422955
3.94,38.01526605209978
3.95,38.33759520524616
3.96,38.66313189937952
3.97,38.99200843021074
3.98,39.32435709345064
3.99,39.66031018481013
4.0,40.0
4.01,40.34353547685481
4.02,40.69093212170368
4.03,41.04218208299951
4.04,41.39727750919504
4.05,41.756210548743134
4.06,42.1189733500966
4.07,42.485558061708296
4.08,42.85595683203098
4.09,43.2301618095175
4.1,43.60816514262069
4.11,43.98995897979341
4.12,44.37553546948841
4.13,44.76488676015854
4.14,45.15800500025661
4.15,45.55488233823551
4.16,45.95551092254797
4.17,46.359882901646856
4.18,46.76799042398498
4.19,47.17982563801521
4.2,47.59538069219029
4.21,48.01464773496308
4.22,48.43761891478641
4.23,48.86428638011312
4.24,49.294642279395966
4.25,49.72867876108784
4.26,50.16638797364151
4.27,50.607762065509846
4.28,51.05279318514567
4.29,51.50147348100175
4.3,51.953795101530936
4.31,52.40975019518607
4.32,52.86933091041998
4.33,53.33252939568545
4.34,53.79933779943531
4.35,54.26974827012239
4.36,54.743752956199565
4.37,55.22134400611956
4.38,55.70251356833523
4.39,56.18725379129942
4.4,56.675556823464994
4.41,57.16741481328469
4.42,57.66281990921134
4.43,58.16176425969782
4.44,58.66424001319695
4.45,59.17023931816148
4.46,59.67975432304428
4.47,60.192777176298165
4.48,60.709300026376
4.49,61.22931502173054
4.5,61.75281431081463
4.51,62.27979004208111
4.52,62.810234363982765
4.53,63.34413942497251
4.54,63.88149737350306
4.55,64.42230035802724
4.56,64.96654052699796
4.57,65.51421002886799
4.58,66.06530101209015
