wind_speed,Aria Libellula 60i
1.0,0.0
1.01,0.0175249075835876
1.02,0.0345214259938008
1.03,0.050994892495017
1.04,0.0669506443516137
1.05,0.0823940188279685
1.06,0.0973303531884588
1.07,0.1117649846974622
1.08,0.1257032506193563
1.09,0.1391504882185185
1.1,0.1521120347593264
1.11,0.1645932275061574
1.12,0.1765994037233892
1.13,0.1881359006753989
1.14,0.1992080556265646
1.15,0.2098212058412636
1.16,0.2199806885838733
1.17,0.2296918411187714
1.18,0.2389600007103353
1.19,0.2477905046229425
1.2,0.2561886901209706
1.21,0.2641598944687971
1.22,0.2717094549307993
1.23,0.2788427087713552
1.24,0.2855649932548419
1.25,0.2918816456456371
1.26,0.2977980032081183
1.27,0.303319403206663
1.28,0.3084511829056486
1.29,0.3131986795694528
1.3,0.3175672304624532
1.31,0.3215621728490271
1.32,0.3251888439935521
1.33,0.3284525811604058
1.34,0.3313587216139654
1.35,0.3339126026186089
1.36,0.3361195614387134
1.37,0.3379849353386568
1.38,0.3395140615828164
1.39,0.3407122774355696
1.4,0.3415849201612942
1.41,0.3421373270243675
1.42,0.3423748352891672
1.43,0.3423027822200707
1.44,0.3419265050814554
1.45,0.3412513411376991
1.46,0.3402826276531793
1.47,0.3390257018922732
1.48,0.3374859011193586
1.49,0.335668562598813
1.5,0.3335790235950138
1.51,0.3312226213723386
1.52,0.3286046931951649
1.53,0.3257305763278703
1.54,0.3226056080348322
1.55,0.3192351255804283
1.56,0.3156244662290358
1.57,0.3117789672450324
1.58,0.3077039658927959
1.59,0.3034047994367032
1.6,0.2988868051411324
1.61,0.2941553202704605
1.62,0.2892156820890658
1.63,0.284073227861325
1.64,0.2787332948516162
1.65,0.2732012203243165
1.66,0.2674823415438034
1.67,0.2615819957744549
1.68,0.2555055202806482
1.69,0.2492582523267607
1.7,0.2428455291771701
1.71,0.2362726880962539
1.72,0.2295450663483897
1.73,0.2226680011979549
1.74,0.2156468299093269
1.75,0.2084868897468836
1.76,0.2011935179750024
1.77,0.1937720518580602
1.78,0.1862278286604355
1.79,0.1785661856465052
1.8,0.1707924600806471
1.81,0.1629119892272383
1.82,0.1549301103506569
1.83,0.14685216071528
1.84,0.1386834775854853
1.85,0.1304293982256504
1.86,0.1220952599001524
1.87,0.1136863998733693
1.88,0.1052081554096785
1.89,0.0966658637734576
1.9,0.0880648622290838
1.91,0.0794104880409347
1.92,0.0707080784733879
1.93,0.061962970790821
1.94,0.0531805022576115
1.95,0.0443660101381367
1.96,0.0355248316967748
1.97,0.0266623041979024
1.98,0.0177837649058974
1.99,0.0088945510851373
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
