wind_speed,Fuhrländer LLC WTU2.0-93
1.0,0.0
1.01,0.6116643730601142
1.02,1.2103846531752682
1.03,1.7962638208350248
1.04,2.369404856528948
1.05,2.9299107407466
1.06,3.477884453977546
1.07,4.013428976711349
1.08,4.536647289437573
1.09,5.0476423726457815
1.1,5.546517206825535
1.11,6.0333747724664
1.12,6.508318050057939
1.13,6.971450020089707
1.14,7.4228736630512895
1.15,7.862691959432229
1.16,8.291007889722101
1.17,8.707924434410469
1.18,9.113544573986887
1.19,9.50797128894093
1.2,9.891307559762144
1.21,10.263656366940111
1.22,10.625120690964389
1.23,10.975803512324536
1.24,11.31580781151012
1.25,11.645236569010702
1.26,11.964192765315856
1.27,12.272779380915129
1.28,12.571099396298088
1.29,12.859255791954311
1.3,13.13735154837335
1.31,13.40548964604476
1.32,13.663773065458118
1.33,13.912304787102991
1.34,14.151187791468937
1.35,14.3805250590455
1.36,14.60041957032227
1.37,14.810974305788813
1.38,15.012292245934669
1.39,15.204476371249417
1.4,15.387629662222611
1.41,15.561855099343823
1.42,15.727255663102628
1.43,15.883934333988565
1.44,16.031994092491203
1.45,16.17153791910012
1.46,16.302668794304868
1.47,16.42548969859502
1.48,16.540103612460115
1.49,16.646613516389735
1.5,16.745122390873455
1.51,16.835733216400826
1.52,16.918548973461398
1.53,16.99367264254476
1.54,17.061207204140448
1.55,17.121255638738056
1.56,17.173920926827126
1.57,17.219306048897227
1.58,17.257513985437924
1.59,17.28864771693878
1.6,17.31281022388936
1.61,17.33010448677922
1.62,17.340633486097932
1.63,17.344500202335055
1.64,17.34180761598016
1.65,17.3326587075228
1.66,17.317156457452537
1.67,17.29540384625895
1.68,17.26750385443159
1.69,17.233559462460025
1.7,17.193673650833812
1.71,17.147949400042524
1.72,17.096489690575723
1.73,17.039397502922956
1.74,16.976775817573813
1.75,16.908727615017842
1.76,16.83535587574461
1.77,16.75676358024367
1.78,16.673053709004606
1.79,16.584329242516965
1.8,16.49069316127032
1.81,16.392248445754223
1.82,16.289098076458252
1.83,16.18134503387196
1.84,16.06909229848492
1.85,15.952442850786682
1.86,15.83149967126682
1.87,15.706365740414896
1.88,15.577144038720473
1.89,15.443937546673109
1.9,15.306849244762374
1.91,15.165982113477822
1.92,15.02143913330903
1.93,14.87332328474556
1.94,14.721737548276964
1.95,14.566784904392811
1.96,14.408568333582672
1.97,14.247190816336106
1.98,14.082755333142668
1.99,13.915364864491924
2.0,13.745122390873458
2.01,13.572130892776803
2.02,13.39649335069154
2.03,13.218312745107232
2.04,13.03769205651344
2.05,12.854734265399731
2.06,12.669542352255654
2.07,12.482219297570795
2.08,12.292868081834698
2.09,12.101591685536942
2.1,11.908493089167068
2.11,11.713675273214667
2.12,11.517241218169282
2.13,11.319293904520489
2.14,11.119936312757847
2.15,10.91927142337092
2.16,10.717402216849266
2.17,10.514431673682465
2.18,10.310462774360053
2.19,10.105598499371617
2.2,9.899941829206709
2.21,9.693595744354903
2.22,9.486663225305742
2.23,9.27924725254882
2.24,9.07145080657367
2.25,8.863376867869881
2.26,8.655128416927003
2.27,8.446808434234597
2.28,8.238519900282238
2.29,8.030365795559469
2.3,7.822449100555875
2.31,7.614872795761004
2.32,7.407739861664439
2.33,7.201153278755717
2.34,6.995216027524432
2.35,6.790031088460115
2.36,6.585701442052354
2.37,6.382330068790697
2.38,6.18001994916472
2.39,5.97887406366398
2.4,5.778995392778045
2.41,5.580486916996467
2.42,5.383451616808829
2.43,5.187992472704675
2.44,4.994212465173581
2.45,4.802214574705099
2.46,4.612101781788811
2.47,4.423977066914253
2.48,4.237943410571015
2.49,4.054103793248656
2.5,3.8725611954367194
2.51,3.6934185976247953
2.52,3.5167789803024263
2.53,3.342745323959191
2.54,3.171420609084634
2.55,3.002907816168353
2.56,2.83730992569987
2.57,2.674729918168776
2.58,2.515270774064618
2.59,2.359035473876977
2.6,2.2061269980953977
2.61,2.056648327209464
2.62,1.9107024417087253
2.63,1.7683923220827484
2.64,1.6298209488211004
2.65,1.495091302413341
2.66,1.3643063633490249
2.67,1.2375691121177308
2.68,1.1149825292090103
2.69,0.9966495951124408
2.7,0.8826732903175749
2.71,0.773156595313985
2.72,0.66820249059122
2.73,0.5679139566388542
2.74,0.4723939739464491
2.75,0.3817455230035662
2.76,0.2960715842997707
2.77,0.2154751383246207
2.78,0.1400591655676919
2.79,0.0699266465185459
2.8,0.0051805616667408
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0721575263815275
3.02,0.1519670577307827
3.03,0.2395315745373487
3.04,0.3349540572907727
3.05,0.4383374864806342
3.06,0.549784842596484
3.07,0.6693991061278979
3.08,0.7972832575644233
3.09,0.9335402773956324
3.1,1.0782731461110764
3.11,1.2315848442003483
3.12,1.3935783521529892
3.13,1.56435665045856
3.14,1.7440227196066296
3.15,1.932679540086767
3.16,2.13043009238854
3.17,2.337377357001486
3.18,2.5536243144152024
3.19,2.779273945119222
3.2,3.014429229603138
3.21,3.2591931483564807
3.22,3.5136686818688574
3.23,3.777958810629777
3.24,4.052166515128853
3.25,4.336394775855609
3.26,4.630746573299625
3.27,4.935324887950493
3.28,5.2502327002977225
3.29,5.575572990830928
3.3,5.911448740039631
3.31,6.257962928413427
3.32,6.615218536441866
3.33,6.983318544614505
3.34,7.362365933420904
3.35,7.752463683350648
3.36,8.153714774893288
3.37,8.566222188538404
3.38,8.990088904775519
3.39,9.425417904094246
3.4,9.872312166984102
3.41,10.33087467393468
3.42,10.801208405435524
3.43,11.283416341976228
3.44,11.777601464046311
3.45,12.283866752135404
3.46,12.802315186733004
3.47,13.333049748328712
3.48,13.876173417412057
3.49,14.43178917447264
3.5,15.0
3.51,15.58089491350457
3.52,16.174507090580327
3.53,16.780855745842004
3.54,17.39996009390445
3.55,18.031839349382444
3.56,18.676512726890827
3.57,19.333999441044316
3.58,20.004318706457816
3.59,20.687489737746034
3.6,21.38353174952385
3.61,22.092463956406004
3.62,22.81430557300735
3.63,23.54907581394265
3.64,24.296793893826734
3.65,25.05747902727436
3.66,25.83115042890039
3.67,26.61782731331957
