wind_speed,DeWind D4 48/600
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0487081853762364
2.02,0.0981083550396781
2.03,0.1481924932775239
2.04,0.1989525843769818
2.05,0.2503806126252472
2.06,0.3024685623095308
2.07,0.35520841771703
2.08,0.4085921631349533
2.09,0.4626117828504967
2.1,0.51725926115087
2.11,0.5725265823232704
2.12,0.6284057306549058
2.13,0.6848886904329748
2.14,0.7419674459446851
2.15,0.7996339814772336
2.16,0.8578802813178301
2.17,0.9166983297536718
2.18,0.9760801110719668
2.19,1.036017609559913
2.2,1.0965028095047171
2.21,1.1575276951935791
2.22,1.219084250913706
2.23,1.2811644609522963
2.24,1.3437603095965571
2.25,1.406863781133687
2.26,1.4704668598508914
2.27,1.5345615300353757
2.28,1.5991397759743378
2.29,1.664193581954986
2.3,1.7297149322645182
2.31,1.7956958111901418
2.32,1.862128203019055
2.33,1.929004092038466
2.34,1.996315462535573
2.35,2.0640542987975845
2.36,2.132212585111697
2.37,2.200782305765119
2.38,2.269755445045049
2.39,2.339123987238694
2.4,2.408879916633253
2.41,2.479015217515934
2.42,2.5495218741739345
