wind_speed,Enercon E-82 E4 3.000 
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.1304530154001142
2.02,0.2634035087387887
2.03,0.3988489579545633
2.04,0.536786840986009
2.05,0.6772146357716595
2.06,0.8201298202500866
2.07,0.9655298723598298
2.08,1.1134122700394578
2.09,1.2637744912275068
2.1,1.416614013862548
2.11,1.57192831588312
2.12,1.7297148752277902
2.13,1.8899711698350996
2.14,2.052694677643616
2.15,2.2178828765918754
2.16,2.385533244618451
2.17,2.5556432596618794
2.18,2.72821039966073
2.19,2.903232142553541
2.2,3.080705966278881
2.21,3.2606293487752884
2.22,3.4429997679813344
2.23,3.627814701835555
2.24,3.8150716282765225
2.25,4.00476802524277
2.26,4.196901370672864
2.27,4.391469142505363
2.28,4.588468818678807
2.29,4.7878978771317655
2.3,4.989753795802777
2.31,5.194034052630408
2.32,5.400736125553198
2.33,5.609857492509718
2.34,5.821395631438504
2.35,6.035348020278128
2.36,6.251712136967125
2.37,6.470485459444069
2.38,6.6916654656474925
2.39,6.915249633515968
2.4,7.141235440988034
2.41,7.369620366002259
2.42,7.60040188649718
2.43,7.833577480411372
