wind_speed,NPS Northern Power NPS 60-24
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0068639413672258
2.02,0.0138989154729055
2.03,0.0211059550554919
2.04,0.0284860928534392
2.05,0.0360403616052001
2.06,0.0437697940492289
2.07,0.0516754229239784
2.08,0.059758280967903
2.09,0.0680194009194551
2.1,0.0764598155170893
2.11,0.0850805574992581
2.12,0.093882659604416
2.13,0.1028671545710155
2.14,0.1120350751375112
2.15,0.1213874540423555
2.16,0.1309253240240029
2.17,0.140649717820906
2.18,0.1505616681715193
2.19,0.1606622078142953
2.2,0.1709523694876883
2.21,0.1814331859301513
2.22,0.1921056898801382
2.23,0.2029709140761019
2.24,0.214029891256497
2.25,0.2252836541597756
2.26,0.236733235524392
2.27,0.2483796680888002
2.28,0.2602239845914527
2.29,0.272267217770804
2.3,0.2845104003653065
2.31,0.2969545651134149
2.32,0.3096007447535814
2.33,0.3224499720242608
2.34,0.3355032796639054
2.35,0.3487617004109701
2.36,0.362226267003907
2.37,0.3758980121811708
2.38,0.3897779686812139
2.39,0.4038671692424909
2.4,0.4181666466034542
2.41,0.4326774335025585
