wind_speed,WinWinD WWD-1 D60
1.0,0.0
1.01,0.087714846598378
1.02,0.1727850244550964
1.03,0.2552372473958286
1.04,0.3350982292462477
1.05,0.4123946838320272
1.06,0.4871533249788404
1.07,0.5594008665123604
1.08,0.6291640222582608
1.09,0.6964695060422151
1.1,0.7613440316898964
1.11,0.8238143130269776
1.12,0.8839070638791329
1.13,0.9416489980720336
1.14,0.9970668294313564
1.15,1.0501872717827725
1.16,1.1010370389519557
1.17,1.149642844764579
1.18,1.1960314030463162
1.19,1.24022942762284
1.2,1.2822636323198242
1.21,1.3221607309629424
1.22,1.359947437377867
1.23,1.3956504653902722
1.24,1.4292965288258308
1.25,1.4609123415102163
1.26,1.4905246172691025
1.27,1.5181600699281623
1.28,1.5438454133130683
1.29,1.5676073612494952
1.3,1.589472627563116
1.31,1.6094679260796032
1.32,1.6276199706246306
1.33,1.643955475023872
1.34,1.6585011531029998
1.35,1.6712837186876883
1.36,1.6823298856036093
1.37,1.6916663676764387
1.38,1.6993198787318475
1.39,1.70531713259551
1.4,1.709684843093099
1.41,1.7124497240502885
1.42,1.713638489292752
1.43,1.7132778526461625
1.44,1.711394527936192
1.45,1.7080152289885162
1.46,1.703166669628807
1.47,1.6968755636827375
1.48,1.6891686249759823
1.49,1.6800725673342132
1.5,1.669614104583105
1.51,1.6578199505483298
1.52,1.644716819055561
1.53,1.630331423930473
1.54,1.6146904789987386
1.55,1.5978206980860312
1.56,1.5797487950180231
1.57,1.5605014836203894
1.58,1.5401054777188032
1.59,1.5185874911389354
1.6,1.495974237706462
1.61,1.4722924312470544
1.62,1.4475687855863886
1.63,1.4218300145501352
1.64,1.3951028319639702
1.65,1.3674139516535633
1.66,1.3387900874445895
1.67,1.3092579531627246
1.68,1.2788442626336387
1.69,1.2475757296830066
1.7,1.2154790681365006
1.71,1.1825809918197951
1.72,1.1489082145585638
1.73,1.1144874501784778
1.74,1.0793454125052118
1.75,1.0435088153644403
1.76,1.0070043725818365
1.77,0.9698587979830702
1.78,0.9320988053938192
1.79,0.8937511086397544
1.8,0.85484242154655
1.81,0.8153994579398783
1.82,0.7754489316454141
1.83,0.7350175564888292
1.84,0.6941320462957979
1.85,0.6528191148919944
1.86,0.6111054761030895
1.87,0.5690178437547587
1.88,0.5265829316726752
1.89,0.4838274536825114
1.9,0.440778123609941
1.91,0.397461655280636
1.92,0.3539047625202722
1.93,0.310134159154521
1.94,0.2661765590090573
1.95,0.2220586759095528
1.96,0.1778072236816839
1.97,0.1334489161511201
1.98,0.0890104671435353
1.99,0.0445185904846039
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0903865153400351
3.02,0.1834728441190415
3.03,0.2792874172086407
3.04,0.3778586654804825
3.05,0.4792150198061832
3.06,0.5833849110573875
3.07,0.6903967701057222
3.08,0.8002790278228283
3.09,0.9130601150803256
3.1,1.0287684627498626
3.11,1.1474325017030638
3.12,1.2690806628115638
3.13,1.3937413769469995
3.14,1.5214430749810015
3.15,1.6522141877852008
3.16,1.7860831462312396
3.17,1.923078381190736
3.18,2.063228323535342
3.19,2.2065614041366715
3.2,2.3531060538663757
3.21,2.5028907035960737
3.22,2.6559437841974094
3.23,2.812293726542008
3.24,2.9719689615015144
3.25,3.134997919947543
3.26,3.3014090327517414
3.27,3.471230730785748
3.28,3.6444914449211767
3.29,3.821219606029684
3.3,4.001443644982882
3.31,4.185191992652421
3.32,4.372493079909919
3.33,4.5633753376270265
3.34,4.757867196675356
3.35,4.955997087926566
3.36,5.157793442252261
3.37,5.363284690524103
3.38,5.572499263613704
3.39,5.785465592392713
3.4,6.002212107732744
3.41,6.222767240505451
3.42,6.447159421582455
3.43,6.6754170818354
3.44,6.9075686521358985
3.45,7.143642563355614
3.46,7.383667246366145
3.47,7.627671132039161
3.48,7.875682651246263
3.49,8.127730234859108
3.5,8.383842313749312
3.51,8.644047318788518
3.52,8.908373680848367
3.53,9.17684983080047
3.54,9.449504199516486
3.55,9.726365217868029
3.56,10.007461316726744
3.57,10.292820926964255
3.58,10.582472479452203
3.59,10.876444405062216
3.6,11.174765134665936
3.61,11.477463099134976
3.62,11.784566729341002
3.63,12.096104456155617
3.64,12.412104710450476
3.65,12.732595923097186
3.66,13.057606524967412
3.67,13.387164946932762
3.68,13.721299619864888
3.69,14.060038974635404
3.7,14.403411442115972
3.71,14.751445453178183
3.72,15.10416943869372
3.73,15.46161182953417
