wind_speed,HEAG HW1-780
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0121296188730692
2.02,0.024458019853026
2.03,0.0369839850467559
2.04,0.049706296561147
2.05,0.0626237365030847
2.06,0.0757350869794573
2.07,0.0890391300971503
2.08,0.1025346479630521
2.09,0.1162204226840479
2.1,0.1300952363670259
2.11,0.1441578711188719
2.12,0.1584071090464737
2.13,0.1728417322567171
2.14,0.1874605228564901
2.15,0.2022622629526781
2.16,0.2172457346521698
2.17,0.2324097200618503
2.18,0.2477530012886079
2.19,0.2632743604393281
2.2,0.2789725796208989
2.21,0.294846440940206
2.22,0.3108947265041376
2.23,0.3271162184195791
2.24,0.3435096987934189
2.25,0.3600739497325423
2.26,0.3768077533438368
2.27,0.3937098917341901
2.28,0.4107791470104874
2.29,0.4280143012796173
2.3,0.445414136648465
2.31,0.4629774352239188
2.32,0.4807029791128641
2.33,0.4985895504221893
2.34,0.5166359312587796
2.35,0.5348409037295236
2.36,0.5532032499413064
2.37,0.5717217520010165
2.38,0.5903951920155391
2.39,0.6092223520917627
2.4,0.6282020143365724
2.41,0.647332960856857
2.42,0.6666139737595014
