wind_speed,Enercon E-115 EP3 3.000 prototype
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0584111685647346
1.88,0.258839320896127
1.89,0.4636009720175611
1.9,0.6726891636965324
1.91,0.8860969377005383
1.92,1.1038173357970718
1.93,1.325843399753632
1.94,1.5521681713377111
1.95,1.782784692316815
1.96,2.017686004458429
1.97,2.2568651495300607
1.98,2.500315169299202
1.99,2.748029105533349
2.0,3.0
2.01,3.256220894466643
2.02,3.5166848307007967
2.03,3.781384850469929
2.04,4.05031399554157
2.05,4.323465307683179
2.06,4.600831828662286
2.07,4.882406600246361
2.08,5.16818266420293
2.09,5.4581530622994565
2.1,5.752310836303466
2.11,6.050649027982431
2.12,6.353160679103874
2.13,6.659838831435265
2.14,6.970676526744128
2.15,7.285666806797928
2.16,7.604802713364197
2.17,7.9280772882104
2.18,8.255483573104064
2.19,8.587014609812652
2.2,8.922663440103694
2.21,9.262423105744656
2.22,9.606286648503064
2.23,9.954247110146389
2.24,10.306297532442152
2.25,10.66243095715782
2.26,11.022640426060912
2.27,11.386918980918932
2.28,11.755259663499348
2.29,12.12765551556969
2.3,12.504099578897424
2.31,12.884584895250075
2.32,13.26910450639511
2.33,13.657651454100057
2.34,14.05021878013238
2.35,14.446799526259614
2.36,14.847386734249213
2.37,15.251973445868714
2.38,15.660552702885578
2.39,16.073117547067334
