wind_speed,Bergey Excel 15
1.0,0.0
1.01,0.0002201584911147
1.02,0.000426974043374
1.03,0.0006207189616525
1.04,0.0008016655508247
1.05,0.0009700861157653
1.06,0.0011262529613489
1.07,0.00127043839245
1.08,0.0014029147139433
1.09,0.0015239542307033
1.1,0.0016338292476048
1.11,0.0017328120695222
1.12,0.0018211750013301
1.13,0.0018991903479032
1.14,0.0019671304141161
1.15,0.0020252675048434
1.16,0.0020738739249597
1.17,0.0021132219793395
1.18,0.0021435839728575
1.19,0.0021652322103882
1.2,0.0021784389968064
1.21,0.0021834766369865
1.22,0.0021806174358032
1.23,0.002170133698131
1.24,0.0021522977288447
1.25,0.0021273818328187
1.26,0.0020956583149277
1.27,0.0020573994800463
1.28,0.0020128776330491
1.29,0.0019623650788106
1.3,0.0019061341222056
1.31,0.0018444570681085
1.32,0.001777606221394
1.33,0.0017058538869367
1.34,0.0016294723696111
1.35,0.001548733974292
1.36,0.0014639110058539
1.37,0.0013752757691713
1.38,0.0012831005691189
1.39,0.0011876577105713
1.4,0.0010892194984032
1.41,0.000988058237489
1.42,0.0008844462327034
1.43,0.0007786557889209
1.44,0.0006709592110163
1.45,0.0005616288038641
1.46,0.0004509368723389
1.47,0.0003391557213152
1.48,0.0002265576556678
1.49,0.0001134149802712
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0002335814299701
2.02,0.0004798965792974
2.03,0.0007380639236086
2.04,0.0010072019385309
2.05,0.0012864290996912
2.06,0.0015748638827165
2.07,0.0018716247632339
2.08,0.0021758302168702
2.09,0.0024865987192526
2.1,0.002803048746008
2.11,0.0031242987727633
2.12,0.0034494672751457
2.13,0.0037776727287821
2.14,0.0041080336092994
2.15,0.0044396683923247
2.16,0.004771695553485
2.17,0.0051032335684073
2.18,0.0054334009127186
2.19,0.0057613160620458
2.2,0.006086097492016
2.21,0.0064068636782561
2.22,0.0067227330963932
2.23,0.0070328242220543
2.24,0.0073362555308663
2.25,0.0076321454984562
2.26,0.0079196126004511
2.27,0.008197775312478
2.28,0.0084657521101637
2.29,0.0087226614691354
2.3,0.00896762186502
