wind_speed,Ropatec 3kW
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0002327956362506
2.02,0.0004685424902412
2.03,0.0007071917797119
2.04,0.0009486947224027
2.05,0.0011930025360536
2.06,0.0014400664384046
2.07,0.0016898376471957
2.08,0.001942267380167
2.09,0.0021973068550584
2.1,0.0024549072896101
2.11,0.0027150199015621
2.12,0.0029775959086543
2.13,0.0032425865286267
2.14,0.0035099429792195
2.15,0.0037796164781726
2.16,0.0040515582432261
2.17,0.0043257194921199
2.18,0.0046020514425942
2.19,0.0048805053123889
2.2,0.005161032319244
2.21,0.0054435836808996
2.22,0.0057281106150956
2.23,0.0060145643395723
2.24,0.0063028960720694
2.25,0.0065930570303271
2.26,0.0068849984320854
2.27,0.0071786714950843
2.28,0.0074740274370639
2.29,0.0077710174757641
2.3,0.008069592828925
2.31,0.0083697047142867
2.32,0.008671304349589
2.33,0.0089743429525721
2.34,0.009278771740976
2.35,0.0095845419325407
2.36,0.0098916047450062
2.37,0.0101999113961126
2.38,0.0105094131035998
2.39,0.0108200610852079
2.4,0.011131806558677
2.41,0.011444600741747
2.42,0.011758394852158
