wind_speed,Micon M 530
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.003528571336895
2.02,0.0070550253192525
2.03,0.0105772445925348
2.04,0.0140931118022044
2.05,0.0176005095937235
2.06,0.0210973206125549
2.07,0.0245814275041604
2.08,0.0280507129140031
2.09,0.0315030594875448
2.1,0.0349363498702484
2.11,0.038348466707576
2.12,0.0417372926449901
2.13,0.0451007103279531
2.14,0.0484366024019275
2.15,0.0517428515123754
2.16,0.0550173403047597
2.17,0.0582579514245424
2.18,0.0614625675171862
2.19,0.0646290712281532
2.2,0.0677553452029061
2.21,0.070839272086907
2.22,0.0738787345256187
2.23,0.0768716151645033
2.24,0.0798157966490233
2.25,0.0827091616246411
2.26,0.0855495927368192
2.27,0.08833497263102
2.28,0.0910631839527057
2.29,0.093732109347339
2.3,0.096339631460382
2.31,0.0988836329372973
2.32,0.1013619964235474
2.33,0.1037726045645946
2.34,0.1061133400059013
2.35,0.1083820853929299
2.36,0.1105767233711427
2.37,0.1126951365860022
2.38,0.1147352076829711
2.39,0.1166948193075113
2.4,0.1185718541050855
2.41,0.1203641947211562
2.42,0.1220697238011856
