wind_speed,Fuhrländer FL 2500/104
1.0,0.0
1.01,0.2828657184396452
1.02,0.5572028222529694
1.03,0.8230974590624607
1.04,1.0806357764906074
1.05,1.3299039221598974
1.06,1.5709880436928183
1.07,1.8039742887118595
1.08,2.0289488048395072
1.09,2.245997739698252
1.1,2.45520724091058
1.11,2.6566634560989786
1.12,2.8504525328859383
1.13,3.0366606188939422
1.14,3.215373861745486
1.15,3.386678409063053
1.16,3.5506604084691338
1.17,3.707406007586215
1.18,3.857001354036785
1.19,3.9995325954433296
1.2,4.13508587942834
1.21,4.2637473536143045
1.22,4.385603165623708
1.23,4.500739463079041
1.24,4.609242393602791
1.25,4.711198104817446
1.26,4.806692744345494
1.27,4.8958124598094255
1.28,4.978643398831721
1.29,5.055271709034878
1.3,5.125783538041381
1.31,5.190265033473718
1.32,5.248802342954374
1.33,5.301481614105843
1.34,5.348388994550607
1.35,5.389610631911159
1.36,5.425232673809984
1.37,5.455341267869572
1.38,5.480022561712411
1.39,5.499362702960986
1.4,5.513447839237789
1.41,5.522364118165305
1.42,5.526197687366025
1.43,5.5250346944624384
1.44,5.518961287077026
1.45,5.508063612832283
1.46,5.492427819350696
1.47,5.47214005425475
1.48,5.447286465166936
1.49,5.417953199709742
1.5,5.384226405505653
1.51,5.346192230177161
1.52,5.303936821346752
1.53,5.2575463266369145
1.54,5.2071068936701375
1.55,5.152704670068911
1.56,5.094425803455716
1.57,5.032356441453045
1.58,4.966582731683394
1.59,4.897190821769232
1.6,4.824266859333063
1.61,4.7478969919973695
1.62,4.668167367384647
1.63,4.5851641331173685
1.64,4.498973436818039
1.65,4.40968142610913
1.66,4.31737424861314
1.67,4.222138051952559
1.68,4.124058983749869
1.69,4.02322319162756
1.7,3.919716823208116
1.71,3.813626026114033
1.72,3.705036947967797
1.73,3.5940357363918918
1.74,3.480708539008805
1.75,3.365141503441034
1.76,3.2474207773110613
1.77,3.1276325082413683
1.78,3.005862843854453
1.79,2.8821979317727995
1.8,2.756723919618896
1.81,2.629526955015228
1.82,2.50069318558429
1.83,2.370308758948563
1.84,2.2384598227305426
1.85,2.10523252455271
1.86,1.970713012037556
1.87,1.8349874328075693
1.88,1.6981419344852409
1.89,1.5602626646930529
1.9,1.421435771053495
1.91,1.2817474011890568
1.92,1.1412837027222245
1.93,1.0001308232754869
1.94,0.8583749104713347
1.95,0.7161021119322521
1.96,0.5733985752807356
1.97,0.430350448139261
1.98,0.2870438781303197
1.99,0.1435650128764023
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.2914793330659521
3.02,0.5916526902682989
3.03,0.9005993334945488
3.04,1.2183985246323172
3.05,1.5451295255691058
3.06,1.8808715981925157
3.07,2.2257040043900838
3.08,2.5797060060493893
3.09,2.942956865057959
3.1,3.3155358433033912
3.11,3.6975222026732175
3.12,4.088995205055014
3.13,4.490034112336335
3.14,4.900718186404738
3.15,5.321126689147774
3.16,5.75133888245304
3.17,6.1914340282080325
3.18,6.641491388300374
3.19,7.10159022461758
3.2,7.571809799047244
3.21,8.052229373476875
3.22,8.5429282097941
3.23,9.043985569886422
3.24,9.555480715641442
3.25,10.077492908946684
3.26,10.610101411689715
3.27,11.153385485758132
3.28,11.70742439303944
3.29,12.272297395421244
3.3,12.848083754791066
3.31,13.434862733036509
3.32,14.032713592045084
3.33,14.64171559370439
3.34,15.261947999901937
3.35,15.893490072525369
3.36,16.536421073462133
3.37,17.190820264599903
3.38,17.856766907826163
3.39,18.53434026502851
3.4,19.22361959809445
3.41,19.92468416891163
3.42,20.637613239367525
3.43,21.36248607134976
3.44,22.099381926745824
3.45,22.84838006744337
3.46,23.609559755329848
3.47,24.383000252292927
3.48,25.168780820220068
3.49,25.96698072099891
3.5,26.77767921651695
3.51,27.600955568661774
3.52,28.436889039320985
3.53,29.28555889038206
3.54,30.14704438373263
3.55,31.021424781260198
3.56,31.90877934485238
3.57,32.80918733639668
3.58,33.72272801778072
3.59,34.649480650891974
3.6,35.5895244976181
3.61,36.54293881984655
3.62,37.50980287946499
3.63,38.490195938360905
3.64,39.48419725842192
3.65,40.49188610153549
3.66,41.51334172958931
3.67,42.5486434044708
3.68,43.59787038806765
3.69,44.66110194226731
3.7,45.73841732895743
3.71,46.82989581002547
3.72,47.93561664735912
3.73,49.055659102845794
3.74,50.1901024383732
3.75,51.33902591582874
3.76,52.50250879710007
3.77,53.68063034407479
3.78,54.87346981864035
3.79,56.081106482684426
3.8,57.30361959809444
3.81,58.54108842675811
3.82,59.79359223056285
3.83,61.06121027139631
3.84,62.34402181114599
3.85,63.64210611169952
3.86,64.95554243494438
3.87,66.28441004276823
