wind_speed,Greenstorm GS 21 S
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.013386105343655
2.02,0.0269702388269186
2.03,0.040750428589397
2.04,0.0547247027706997
2.05,0.0688910895104324
2.06,0.0832476169482047
2.07,0.0977923132236229
2.08,0.1125232064762964
2.09,0.1274383248458311
2.1,0.1425356964718366
2.11,0.1578133494939188
2.12,0.1732693120516873
2.13,0.1889016122847485
2.14,0.2047082783327111
2.15,0.2206873383351817
2.16,0.2368368204317696
2.17,0.2531547527620812
2.18,0.2696391634657256
2.19,0.286288080682309
2.2,0.3030995325514407
2.21,0.3200715472127269
2.22,0.3372021528057771
2.23,0.3544893774701975
2.24,0.3719312493455971
2.25,0.3895257965715826
2.26,0.4072710472877621
2.27,0.4251650296337442
2.28,0.4432057717491355
2.29,0.4613913017735451
2.3,0.479719647846579
2.31,0.4981888381078468
2.32,0.5167969006969546
2.33,0.5355418637535116
2.34,0.5544217554171244
2.35,0.5734346038274021
2.36,0.5925784371239506
2.37,0.6118512834463796
2.38,0.6312511709342954
2.39,0.6507761277273068
2.4,0.6704241819650205
2.41,0.6901933617870457
