wind_speed,AN Bonus 450/37
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0100837830869818
2.02,0.0201615152990243
2.03,0.0302271457611872
2.04,0.0402746235985314
2.05,0.0502978979361163
2.06,0.0602909178990033
2.07,0.0702476326122515
2.08,0.080161991200923
2.09,0.0900279427900759
2.1,0.0998394365047726
2.11,0.1095904214700721
2.12,0.1192748468110349
2.13,0.1288866616527217
2.14,0.1384198151201926
2.15,0.1478682563385077
2.16,0.1572259344327278
2.17,0.1664867985279131
2.18,0.1756447977491235
2.19,0.1846938812214196
2.2,0.193627998069862
2.21,0.2024410974195103
2.22,0.2111271283954257
2.23,0.2196800401226679
2.24,0.2280937817262972
2.25,0.2363623023313742
2.26,0.2444795510629593
2.27,0.2524394770461127
2.28,0.2602360294058944
2.29,0.2678631572673651
2.3,0.2753148097555847
2.31,0.2825849359956141
2.32,0.2896674851125133
2.33,0.2965564062313427
2.34,0.3032456484771625
2.35,0.3097291609750332
2.36,0.3160008928500146
2.37,0.3220547932271677
2.38,0.3278848112315525
2.39,0.3334848959882293
2.4,0.3388489966222578
2.41,0.3439710622586999
