wind_speed,Enercon E-112/45.114
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.1770722877706534
2.02,0.3579534730584068
2.03,0.5426524533803274
2.04,0.7311781262535302
2.05,0.9235393891950744
2.06,1.1197451397220777
2.07,1.319804275351606
2.08,1.523725693600772
2.09,1.7315182919866403
2.1,1.9431909680263224
2.11,2.158752619236888
2.12,2.378212143135447
2.13,2.6015784372390662
2.14,2.828860399064859
2.15,3.0600669261298883
2.16,3.2952069159512707
2.17,3.53428926604607
2.18,3.777322873931401
2.19,4.024316637124326
2.2,4.275279453141959
2.21,4.530220219501368
2.22,4.789147833719664
2.23,5.052071193313913
2.24,5.318999195801229
2.25,5.589940738698675
2.26,5.864904719523356
2.27,6.1439000357923685
2.28,6.426935585022781
2.29,6.714020264731708
2.3,7.005162972436214
2.31,7.3003726056534095
2.32,7.59965806190036
2.33,7.903028238694182
2.34,8.210492033551938
2.35,8.522058343990748
2.36,8.837736067527667
2.37,9.157534101679817
2.38,9.481461343964256
2.39,9.8095266918981
2.4,10.141739042998418
2.41,10.478107294782324
2.42,10.81864034476687
2.43,11.16334709046919
