wind_speed,Enercon E-115 3.000
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0372625992762749
1.88,0.2392679212663475
1.89,0.4456186564537039
1.9,0.6563068537385708
1.91,0.8713245620211714
1.92,1.0906638302017324
1.93,1.314316707180482
1.94,1.5422752418576429
1.95,1.7745314831334476
1.96,2.011077479908113
1.97,2.2519052810818776
1.98,2.497006935554963
1.99,2.746374492227595
2.0,3.0
2.01,3.257875507772396
2.02,3.5199930644450346
2.03,3.786344718918112
2.04,4.056922520091884
2.05,4.3317185168665455
2.06,4.6107247581423545
2.07,4.89393329281951
2.08,5.181336169798267
2.09,5.472925437978821
2.1,5.768693146261428
2.11,6.068631343546287
2.12,6.3727320787336525
2.13,6.680987400723724
2.14,6.993389358416754
2.15,7.309930000712939
2.16,7.630601376512542
2.17,7.955395534715754
2.18,8.284304524222833
2.19,8.617320393933976
2.2,8.954435192749438
2.21,9.295640969569416
2.22,9.640929773294168
2.23,9.99029365282389
2.24,10.343724657058836
2.25,10.701214834899208
2.26,11.062756235245242
2.27,11.428340906997184
2.28,11.797960899055228
2.29,12.171608260319632
2.3,12.549275039690594
2.31,12.930953286068364
2.32,13.316635048353143
2.33,13.70631237544519
2.34,14.099977316244695
2.35,14.49762191965193
2.36,14.899238234567068
2.37,15.30481830989038
2.38,15.714354194522066
2.39,16.127837937362372
