wind_speed,Aria Libellula 55+
1.0,0.0
1.01,0.0012284829577841
1.02,0.0024199262283989
1.03,0.0035747039500986
1.04,0.0046931902611373
1.05,0.0057757592997694
1.06,0.0068227852042491
1.07,0.0078346421128305
1.08,0.008811704163768
1.09,0.0097543454953158
1.1,0.0106629402457282
1.11,0.0115378625532592
1.12,0.0123794865561633
1.13,0.0131881863926945
1.14,0.0139643362011073
1.15,0.0147083101196557
1.16,0.0154204822865941
1.17,0.0161012268401766
1.18,0.0167509179186576
1.19,0.0173699296602912
1.2,0.0179586362033316
1.21,0.0185174116860332
1.22,0.0190466302466502
1.23,0.0195466660234367
1.24,0.020017893154647
1.25,0.0204606857785354
1.26,0.0208754180333561
1.27,0.0212624640573633
1.28,0.0216221979888113
1.29,0.0219549939659543
1.3,0.0222612261270465
1.31,0.0225412686103422
1.32,0.0227954955540956
1.33,0.023024281096561
1.34,0.0232279993759926
1.35,0.0234070245306445
1.36,0.0235617306987711
1.37,0.0236924920186266
1.38,0.0237996826284653
1.39,0.0238836766665413
1.4,0.0239448482711089
1.41,0.0239835715804223
1.42,0.0240002207327358
1.43,0.0239951698663036
1.44,0.02396879311938
1.45,0.0239214646302191
1.46,0.0238535585370753
1.47,0.0237654489782027
1.48,0.0236575100918556
1.49,0.0235301160162882
1.5,0.0233836408897548
1.51,0.0232184588505095
1.52,0.0230349440368067
1.53,0.0228334705869006
1.54,0.0226144126390454
1.55,0.0223781443314953
1.56,0.0221250398025046
1.57,0.0218554731903275
1.58,0.0215698186332183
1.59,0.0212684502694311
1.6,0.0209517422372203
1.61,0.02062006867484
1.62,0.0202738037205445
1.63,0.019913321512588
1.64,0.0195389961892248
1.65,0.0191512018887091
1.66,0.0187503127492952
1.67,0.0183367029092372
1.68,0.0179107465067894
1.69,0.0174728176802061
1.7,0.0170232905677415
1.71,0.0165625393076497
1.72,0.0160909380381852
1.73,0.015608860897602
1.74,0.0151166820241544
1.75,0.0146147755560967
1.76,0.0141035156316831
1.77,0.0135832763891678
1.78,0.0130544319668052
1.79,0.0125173565028493
1.8,0.0119724241355544
1.81,0.0114200090031748
1.82,0.0108604852439648
1.83,0.0102942269961785
1.84,0.0097216083980702
1.85,0.0091430035878941
1.86,0.0085587867039044
1.87,0.0079693318843555
1.88,0.0073750132675015
1.89,0.0067762049915967
1.9,0.0061732811948952
1.91,0.0055666160156514
1.92,0.0049565835921195
1.93,0.0043435580625537
1.94,0.0037279135652082
1.95,0.0031100242383373
1.96,0.0024902642201953
1.97,0.0018690076490363
1.98,0.0012466286631146
1.99,0.0006235014006844
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0012665226449534
3.02,0.0025745884240594
3.03,0.0039283266460466
3.04,0.0053318666196439
3.05,0.00678933765358
3.06,0.0083048690565839
3.07,0.0098825901373843
3.08,0.0115266302047101
3.09,0.0132411185672899
3.1,0.0150301845338528
3.11,0.0168979574131275
3.12,0.0188485665138428
3.13,0.0208861411447275
3.14,0.0230148106145106
3.15,0.0252387042319207
3.16,0.0275619513056867
3.17,0.0299886811445373
3.18,0.0325230230572017
3.19,0.0351691063524083
3.2,0.0379310603388861
3.21,0.0408130143253638
3.22,0.0438190976205706
3.23,0.0469534395332347
3.24,0.0502201693720856
3.25,0.0536234164458515
3.26,0.0571673100632615
3.27,0.0608559795330446
