wind_speed,Aria Libellula 20
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0048475808232474
2.02,0.0097952831101476
2.03,0.0148432283243524
2.04,0.0199915379295147
2.05,0.0252403333892864
2.06,0.0305897361673203
2.07,0.0360398677272686
2.08,0.0415908495327841
2.09,0.0472428030475186
2.1,0.0529958497351251
2.11,0.0588501110592555
2.12,0.0648057084835627
2.13,0.0708627634716987
2.14,0.0770213974873165
2.15,0.0832817319940676
2.16,0.0896438884556054
2.17,0.0961079883355816
2.18,0.1026741530976492
2.19,0.1093425042054599
2.2,0.1161131631226669
2.21,0.1229862513129219
2.22,0.1299618902398779
2.23,0.1370402013671868
2.24,0.1442213061585016
2.25,0.1515053260774741
2.26,0.158892382587757
2.27,0.166382597153003
2.28,0.173976091236864
2.29,0.181672986302993
2.3,0.1894734038150418
2.31,0.1973774652366633
2.32,0.2053852920315094
2.33,0.2134970056632332
2.34,0.2217127275954864
2.35,0.2300325792919222
2.36,0.2384566822161921
2.37,0.2469851578319494
2.38,0.2556181276028458
2.39,0.2643557129925343
2.4,0.2731980354646668
2.41,0.2821452164828963
2.42,0.2911973775108745
