wind_speed,Micon M 700-225
1.0,0.0
1.01,0.0089905347886573
1.02,0.0177099981766516
1.03,0.0261611282589391
1.04,0.034346663130476
1.05,0.0422693408862183
1.06,0.0499318996211224
1.07,0.0573370774301445
1.08,0.0644876124082406
1.09,0.0713862426503671
1.1,0.07803570625148
1.11,0.0844387413065357
1.12,0.0905980859104902
1.13,0.0965164781582997
1.14,0.1021966561449206
1.15,0.107641357965309
1.16,0.112853321714421
1.17,0.1178352854872128
1.18,0.1225899873786408
1.19,0.1271201654836609
1.2,0.1314285578972294
1.21,0.1355179027143026
1.22,0.1393909380298366
1.23,0.1430504019387876
1.24,0.1464990325361118
1.25,0.1497395679167653
1.26,0.1527747461757045
1.27,0.1556073054078854
1.28,0.1582399837082643
1.29,0.1606755191717973
1.3,0.1629166498934407
1.31,0.1649661139681507
1.32,0.1668266494908833
1.33,0.1685009945565949
1.34,0.1699918872602416
1.35,0.1713020656967796
1.36,0.1724342679611651
1.37,0.1733912321483543
1.38,0.1741756963533034
1.39,0.1747903986709685
1.4,0.175238077196306
1.41,0.1755214700242718
1.42,0.1756433152498224
1.43,0.1756063509679138
1.44,0.1754133152735023
1.45,0.1750669462615439
1.46,0.174569982026995
1.47,0.1739251606648118
1.48,0.1731352202699503
1.49,0.1722028989373668
1.5,0.1711309347620175
1.51,0.1699220658388587
1.52,0.1685790302628463
1.53,0.1671045661289367
1.54,0.1655014115320862
1.55,0.1637723045672508
1.56,0.1619199833293867
1.57,0.1599471859134501
1.58,0.1578566504143974
1.59,0.1556511149271845
1.6,0.1533333175467677
1.61,0.1509059963681032
1.62,0.1483718894861473
1.63,0.145733734995856
1.64,0.1429942709921858
1.65,0.1401562355700924
1.66,0.1372223668245323
1.67,0.1341954028504619
1.68,0.1310780817428369
1.69,0.1278731415966138
1.7,0.1245833205067488
1.71,0.121211356568198
1.72,0.1177599878759177
1.73,0.1142319525248638
1.74,0.1106299886099928
1.75,0.106956834226261
1.76,0.1032152274686242
1.77,0.0994079064320387
1.78,0.095537609211461
1.79,0.091607073901847
1.8,0.0876190385981529
1.81,0.0835762413953351
1.82,0.0794814203883495
1.83,0.0753373136721524
1.84,0.0711466593417002
1.85,0.0669121954919488
1.86,0.0626366602178545
1.87,0.0583227916143736
1.88,0.0539733277764622
1.89,0.0495910067990765
1.9,0.0451785667771727
1.91,0.0407387458057069
1.92,0.0362742819796353
1.93,0.0317879133939142
1.94,0.0272823781434999
1.95,0.0227604143233482
1.96,0.0182247600284159
1.97,0.0136781533536586
1.98,0.0091233323940326
1.99,0.0045630352444944
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0092648061893199
3.02,0.018808931399479
3.03,0.0286378851556946
3.04,0.0387571769831873
3.05,0.0491723164071747
3.06,0.059888812952877
3.07,0.0709121761455123
3.08,0.0822479155103006
3.09,0.0939015405724599
3.1,0.1058785608572102
3.11,0.11818448588977
3.12,0.1308248251953588
3.13,0.1438050882991945
3.14,0.1571307847264979
3.15,0.170807424002486
3.16,0.1848405156523798
3.17,0.199235569201397
