wind_speed,Halbes 1 kW
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0001501962700051
2.02,0.0003023630192962
2.03,0.0004564707271592
2.04,0.0006124898728799
2.05,0.0007703909357444
2.06,0.0009301443950384
2.07,0.0010917207300481
2.08,0.0012550904200592
2.09,0.0014202239443577
2.1,0.0015870917822295
2.11,0.0017556644129606
2.12,0.0019259123158368
2.13,0.0020978059701442
2.14,0.0022713158551686
2.15,0.002446412450196
2.16,0.0026230662345122
2.17,0.0028012476874033
2.18,0.0029809272881551
2.19,0.0031620755160535
2.2,0.0033446628503845
2.21,0.0035286597704341
2.22,0.003714036755488
2.23,0.0039007642848324
2.24,0.004088812837753
2.25,0.0042781528935358
2.26,0.0044687549314668
2.27,0.0046605894308318
2.28,0.0048536268709168
2.29,0.0050478377310077
2.3,0.0052431924903905
2.31,0.005439661628351
2.32,0.0056372156241753
2.33,0.0058358249571491
2.34,0.0060354601065585
2.35,0.0062360915516893
2.36,0.0064376897718276
2.37,0.0066402252462591
2.38,0.0068436684542699
2.39,0.0070479898751459
2.4,0.0072531599881729
2.41,0.007459149272637
2.42,0.0076659282078241
