wind_speed,Vergnet GEV HP 1000/62
1.0,0.0
1.01,0.0438652057598131
1.02,0.086063118883652
1.03,0.1266176514183446
1.04,0.165552715410719
1.05,0.2028922229076033
1.06,0.2386600859558253
1.07,0.2728802166022132
1.08,0.3055765268935949
1.09,0.3367729288767986
1.1,0.3664933345986523
1.11,0.3947616561059837
1.12,0.4216018054456212
1.13,0.447037694664392
1.14,0.4710932358091256
1.15,0.4937923409266491
1.16,0.5151589220637907
1.17,0.5352168912673783
1.18,0.5539901605842401
1.19,0.5715026420612039
1.2,0.5877782477450979
1.21,0.6028408896827502
1.22,0.6167144799209884
1.23,0.6294229305066411
1.24,0.6409901534865358
1.25,0.6514400609075011
1.26,0.6607965648163643
1.27,0.6690835772599542
1.28,0.676325010285098
1.29,0.6825447759386244
1.3,0.6877667862673612
1.31,0.6920149533181363
1.32,0.6953131891377777
1.33,0.697685405773114
1.34,0.6991555152709721
1.35,0.6997474296781812
1.36,0.6994850610415685
1.37,0.6983923214079627
1.38,0.6964931228241914
1.39,0.6938113773370824
1.4,0.6903709969934642
1.41,0.6861958938401643
1.42,0.6813099799240114
1.43,0.6757371672918333
1.44,0.6695013679904576
1.45,0.6626264940667127
1.46,0.6551364575674268
1.47,0.6470551705394272
1.48,0.6384065450295426
1.49,0.6292144930846009
1.5,0.6195029267514297
1.51,0.6092957580768579
1.52,0.5986168991077124
1.53,0.587490261890822
1.54,0.5759397584730146
1.55,0.5639893009011184
1.56,0.5516628012219609
1.57,0.5389841714823702
1.58,0.5259773237291753
1.59,0.5126661700092024
1.6,0.499074622369281
1.61,0.4852265928562385
1.62,0.4711459935169039
1.63,0.4568567363981036
1.64,0.4423827335466673
1.65,0.4277478970094214
1.66,0.4129761388331943
1.67,0.3980913710648154
1.68,0.3831175057511116
1.69,0.3680784549389108
1.7,0.3529981306750409
1.71,0.3379004450063311
1.72,0.3228093099796084
1.73,0.3077486376417007
1.74,0.2927423400394361
1.75,0.2778143292196436
1.76,0.2629885172291508
1.77,0.2482888161147841
1.78,0.2337391379233743
1.79,0.2193633947017476
1.8,0.2051854984967323
1.81,0.1912293613551563
1.82,0.177518895323848
1.83,0.1640780124496351
1.84,0.1509306247793462
1.85,0.1381006443598091
1.86,0.1256119832378512
1.87,0.1134885534603014
1.88,0.1017542670739872
1.89,0.0904330361257366
1.9,0.0795487726623782
1.91,0.0691253887307385
1.92,0.0591867963776473
1.93,0.0497569076499317
1.94,0.0408596345944201
1.95,0.0325188892579402
1.96,0.0247585836873209
1.97,0.0176026299293887
1.98,0.0110749400309726
1.99,0.0051994260389001
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0048114465396982
2.14,0.0115880167621491
2.15,0.019399355640191
2.16,0.0282693752206544
2.17,0.0382219875503642
2.18,0.0492811046761518
2.19,0.0614706386448435
2.2,0.0748145015032677
2.21,0.0893366052982536
2.22,0.1050608620766264
2.23,0.1220111838852147
2.24,0.1402114827708507
2.25,0.1596856707803571
2.26,0.180457659960564
2.27,0.2025513623583004
2.28,0.2259906900203909
2.29,0.2507995549936685
