wind_speed,Baltic WindWerke BW 4500
1.0,0.0
1.01,0.7040563572395391
1.02,1.3866386534567805
1.03,2.04796884886407
1.04,2.688268903673756
1.05,3.3077607780981837
1.06,3.906666432349698
1.07,4.485207826640647
1.08,5.043606921183376
1.09,5.582085676190236
1.1,6.1008660518735685
1.11,6.600170008445719
1.12,7.080219506119039
1.13,7.541236505105861
1.14,7.983442965618552
1.15,8.40706084786945
1.16,8.8123121120709
1.17,9.19941871843525
1.18,9.568602627174847
1.19,9.920085798502033
1.2,10.254090192629157
1.21,10.57083776976857
1.22,10.870550490132608
1.23,11.153450313933629
1.24,11.419759201383966
1.25,11.669699112695982
1.26,11.90349200808201
1.27,12.121359847754407
1.28,12.323524591925503
1.29,12.510208200807664
1.3,12.681632634613232
1.31,12.838019853554542
1.32,12.979591817843948
1.33,13.106570487693798
1.34,13.219177823316432
1.35,13.317635784924208
1.36,13.402166332729458
1.37,13.47299142694454
1.38,13.530333027781795
1.39,13.574413095453568
1.4,13.605453590172214
1.41,13.623676472150066
1.42,13.629303701599486
1.43,13.622557238732808
1.44,13.603659043762384
1.45,13.57283107690056
1.46,13.530295298359682
1.47,13.476273668352096
1.48,13.410988147090148
1.49,13.334660694786184
1.5,13.24751327165255
1.51,13.1497678379016
1.52,13.041646353745666
1.53,12.923370779397104
1.54,12.795163075068269
1.55,12.657245200971492
1.56,12.509839117319125
1.57,12.353166784323513
1.58,12.18745016219701
1.59,12.012911211151948
1.6,11.829771891400686
1.61,11.638254163155558
1.62,11.438579986628936
1.63,11.230971322033138
1.64,11.01565012958053
1.65,10.79283836948344
1.66,10.562758001954226
1.67,10.325630987205242
1.68,10.08167928544882
1.69,9.83112485689731
1.7,9.574189661763056
1.71,9.31109566025842
1.72,9.042064812595736
1.73,8.767319078987338
1.74,8.48708041964559
1.75,8.201570794782846
1.76,7.911012164611439
1.77,7.615626489343707
1.78,7.315635729192015
1.79,7.011261844368699
1.8,6.702726795086111
1.81,6.3902525415565865
1.82,6.074061043992486
1.83,5.754374262606143
1.84,5.431414157609917
1.85,5.10540268921615
1.86,4.776561817637177
1.87,4.445113503085361
1.88,4.1112797057730415
1.89,3.77528238591257
1.9,3.43734350371628
1.91,3.097685019396524
1.92,2.756528893165653
1.93,2.4140970852360057
1.94,2.0706115558199425
1.95,1.7262942651297877
1.96,1.3813671733779191
1.97,1.0360522407766553
1.98,0.6905714275383428
1.99,0.3451466938753444
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
