wind_speed,Krogmann 15-50
1.0,0.0
1.01,0.0599841183861338
1.02,0.1186766174241349
1.03,0.1760878854733717
1.04,0.2322283108932127
1.05,0.2871082820430259
1.06,0.3407381872821801
1.07,0.3931284149700434
1.08,0.4442893534659841
1.09,0.4942313911293708
1.1,0.5429649163195714
1.11,0.590500317395955
1.12,0.6368479827178893
1.13,0.682018300644742
1.14,0.7260216595358833
1.15,0.7688684477506805
1.16,0.8105690536485022
1.17,0.8511338655887167
1.18,0.8905732719306921
1.19,0.9288976610337972
1.2,0.9661174212574
1.21,1.0022429409608689
1.22,1.0372846085035723
1.23,1.0712528122448788
1.24,1.1041579405441564
1.25,1.1360103817607738
1.26,1.1668205242540988
1.27,1.1965987563835
1.28,1.2253554665083466
1.29,1.2531010429880056
1.3,1.2798458741818466
1.31,1.305600348449237
1.32,1.3303748541495457
1.33,1.3541797796421404
1.34,1.3770255132863902
1.35,1.3989224434416632
1.36,1.4198809584673278
1.37,1.439911446722752
1.38,1.4590242965673044
1.39,1.4772298963603538
1.4,1.494538634461268
1.41,1.510960899229416
1.42,1.5265070790241655
1.43,1.5411875622048854
1.44,1.5550127371309432
1.45,1.5679929921617075
1.46,1.5801387156565476
1.47,1.5914602959748314
1.48,1.6019681214759265
1.49,1.611672580519202
1.5,1.6205840614640263
1.51,1.628712952669767
1.52,1.636069642495793
1.53,1.6426645193014733
1.54,1.6485079714461757
1.55,1.6536103872892678
1.56,1.657982155190119
1.57,1.6616336635080973
1.58,1.6645753006025708
1.59,1.6668174548329084
1.6,1.6683705145584784
1.61,1.6692448681386485
1.62,1.6694509039327876
1.63,1.668999010300264
1.64,1.667899575600446
1.65,1.6661629881927018
1.66,1.6637996364364005
1.67,1.6608199086909097
1.68,1.6572341933155972
1.69,1.6530528786698329
1.7,1.6482863531129843
1.71,1.6429450050044194
1.72,1.637039222703507
1.73,1.630579394569616
1.74,1.6235759089621136
1.75,1.6160391542403691
1.76,1.6079795187637502
1.77,1.5994073908916258
1.78,1.5903331589833642
1.79,1.5807672113983342
1.8,1.570719936495902
1.81,1.5602017226354383
1.82,1.5492229581763106
1.83,1.5377940314778875
1.84,1.5259253308995369
1.85,1.5136272448006285
1.86,1.500910161540529
1.87,1.4877844694786069
1.88,1.4742605569742318
1.89,1.4603488123867712
1.9,1.4460596240755927
1.91,1.431403380400066
1.92,1.4163904697195593
1.93,1.4010312803934406
1.94,1.3853362007810777
1.95,1.3693156192418396
1.96,1.352979924135095
1.97,1.3363395038202115
1.98,1.319404746656558
1.99,1.3021860410035029
2.0,1.2846937752204142
2.01,1.2669383376666603
2.02,1.2489301167016096
2.03,1.2306795006846307
2.04,1.2121968779750911
2.05,1.1934926369323615
2.06,1.1745771659158069
2.07,1.1554608532847988
2.08,1.1361540873987026
2.09,1.1166672566168894
2.1,1.0970107492987256
2.11,1.0771949538035808
2.12,1.0572302584908222
2.13,1.0371270517198194
2.14,1.0168957218499397
2.15,0.9965466572405528
2.16,0.976090246251025
2.17,0.9555368772407268
2.18,0.9348969385690248
2.19,0.9141808185952892
2.2,0.893398905678886
2.21,0.872561588179186
2.22,0.8516792544555558
2.23,0.830762292867365
2.24,0.8098210917739808
2.25,0.7888660395347729
2.26,0.7679075245091086
2.27,0.7469559350563557
2.28,0.7260216595358845
2.29,0.7051150863070611
2.3,0.6842466037292563
2.31,0.6634266001618357
2.32,0.6426654639641703
2.33,0.6219735834956268
2.34,0.6013613471155747
2.35,0.5808391431833804
2.36,0.5604173600584149
2.37,0.5401063861000442
2.38,0.5199166096676389
2.39,0.499858419120565
2.4,0.4799422028181929
2.41,0.460178349119889
2.42,0.440577246385024
2.43,0.4211492829729636
2.44,0.4019048472430787
2.45,0.3828543275547359
2.46,0.3640081122673044
2.47,0.3453765897401522
2.48,0.3269701483326483
2.49,0.3087991764041596
2.5,0.2908740623140561
2.51,0.2732051944217055
2.52,0.2558029610864758
2.53,0.2386777506677361
2.54,0.2218399515248536
2.55,0.2052999520171982
2.56,0.1890681405041365
2.57,0.1731549053450387
2.58,0.1575706348992717
2.59,0.1423257175262049
2.6,0.1274305415852054
2.61,0.1128954954356434
2.62,0.0987309674368857
2.63,0.084947345948301
2.64,0.0715550193292577
2.65,0.058564375939125
2.66,0.0459858041372698
2.67,0.0338296922830618
2.68,0.0221064287358684
2.69,0.0108264018550585
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0
3.02,0.0
3.03,0.0
3.04,0.0
3.05,0.0
3.06,0.0
3.07,0.0132545937337959
3.08,0.0273206881498565
3.09,0.0421717896080636
3.1,0.0577814044683013
3.11,0.0741230390904517
3.12,0.0911701998343989
3.13,0.1088963930600247
3.14,0.1272751251272138
3.15,0.1462799023958475
3.16,0.1658842312258102
3.17,0.1860616179769837
3.18,0.2067855690092531
3.19,0.228029590682499
3.2,0.2497671893566063
3.21,0.2719718713914565
3.22,0.2946171431469346
3.23,0.3176765109829214
