wind_speed,S&G Engineering SG2500.131 DD
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.459326495548443
2.02,0.9260016100614809
2.03,1.3999739625036298
2.04,1.8811921718395093
2.05,2.3696048570336288
2.06,2.8651606370506046
2.07,3.367808130854966
2.08,3.877495957411329
2.09,4.394172735684199
2.1,4.917787084638201
2.11,5.448287623237855
2.12,5.9856229704477695
2.13,6.529741745232473
2.14,7.080592566556575
2.15,7.638124053384592
2.16,8.202284824681152
2.17,8.77302349941076
2.18,9.350288696538044
2.19,9.934029035027516
2.2,10.524193133843786
2.21,11.120729611951385
2.22,11.723587088314918
2.23,12.332714181898911
2.24,12.948059511667983
2.25,13.569571696586644
2.26,14.197199355619489
2.27,14.830891107731109
2.28,15.470595571886024
2.29,16.116261367048857
2.3,16.767837112184115
2.31,17.42527142625642
2.32,18.08851292823028
2.33,18.757510237070328
2.34,19.43221197174108
2.35,20.112566751207147
2.36,20.79852319443304
2.37,21.490029920383385
2.38,22.187035548022703
2.39,22.889488696315603
2.4,23.59733798422661
2.41,24.31053203072033
2.42,25.02901945476129
2.43,25.75274887531412
2.44,26.4816689113433
